% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 10 2022, 11:33
% Dimension:          3
% Nodes:              665
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0                         0                        0                        9.132629778251221E-14+1.5299250577607253E-14i
0.3                       0.3                      0                        6.744205631087062E-14+2.632739928960136E-14i
-0.3                      0.3                      0                        9.369514980425841E-14-3.670028984264799E-15i
0.3                       -0.3                     0                        1.073527715103188E-13+1.6593155316973022E-14i
-0.3                      -0.3                     0                        1.5388513344997618E-13-3.38097784618681E-14i
0.3                       0                        0.3                      7.088959589028739E-11-1.772621401932249E-10i
-0.3                      0                        0.3                      7.090800832530689E-11-1.7729164645000832E-10i
0.3                       0                        -0.3                     -7.075829765855566E-11+1.7735025746819405E-10i
-0.3                      0                        -0.3                     -7.067590772747097E-11+1.7726214087204282E-10i
0                         0.3                      0.3                      7.090196316902862E-11-1.772938957402082E-10i
0                         -0.3                     0.3                      7.095934867346551E-11-1.7731904709643157E-10i
0                         0.3                      -0.3                     -7.065804716257217E-11+1.7723888531905837E-10i
0                         -0.3                     -0.3                     -7.066691434498528E-11+1.7727672328060498E-10i
0.6                       0                        0                        1.3200883139870297E-13-1.3685546920497023E-14i
-0.6                      0                        0                        1.118266345756104E-13-8.050649607183845E-15i
0                         0.6                      0                        1.431257475125762E-13-6.12758782855355E-14i
0                         -0.6                     0                        1.6121537889200317E-13-2.507692866020956E-14i
0                         0                        0.6                      1.3224791089731026E-10-3.4604567994316126E-10i
0                         0                        -0.6                     -1.3202117173683596E-10+3.460364679908066E-10i
0.6                       0.6                      0                        8.033638549614242E-14-2.648854301574189E-15i
0.6                       0.3                      0.3                      7.719511021491793E-11-1.828980321663158E-10i
0.6                       0.3                      -0.3                     -7.699879241341173E-11+1.829004342780348E-10i
0.3                       0.6                      0.3                      7.717247086256681E-11-1.8288642508345466E-10i
0.3                       0.6                      -0.3                     -7.69922365534289E-11+1.828730356164656E-10i
0.9                       0.3                      0                        9.220555198867217E-14+1.553703690865074E-14i
0.3                       0.9                      0                        1.1241234687648772E-13-5.089144227443845E-14i
0.3                       0.3                      0.6                      1.3876261236024334E-10-3.517784147881259E-10i
0.3                       0.3                      -0.6                     -1.385409796879524E-10+3.517316643261387E-10i
-0.6                      0.6                      0                        8.87404267186183E-14-7.6766501251447E-15i
-0.6                      0.3                      0.3                      7.71933578954542E-11-1.829330259499178E-10i
-0.6                      0.3                      -0.3                     -7.699902114006018E-11+1.8290786779456776E-10i
-0.3                      0.6                      0.3                      7.721208588733579E-11-1.8294141875057156E-10i
-0.3                      0.6                      -0.3                     -7.69126146640712E-11+1.8281024532940311E-10i
-0.9                      0.3                      0                        1.106207779015713E-13-2.3486833137935464E-14i
-0.3                      0.9                      0                        8.714614066902448E-14-1.5699755997532486E-15i
-0.3                      0.3                      0.6                      1.3882220547093144E-10-3.5184523497955163E-10i
-0.3                      0.3                      -0.6                     -1.386146897314999E-10+3.518110235231929E-10i
0.6                       -0.6                     0                        1.186029866686831E-13+3.819203433377499E-14i
0.6                       -0.3                     0.3                      7.720051317884068E-11-1.828851546842441E-10i
0.6                       -0.3                     -0.3                     -7.69589731704199E-11+1.8290827621623223E-10i
0.3                       -0.6                     0.3                      7.716557370484966E-11-1.8283858079266688E-10i
0.3                       -0.6                     -0.3                     -7.697187736965072E-11+1.8293777702958928E-10i
0.9                       -0.3                     0                        1.479018742802548E-14+1.1065160334412789E-13i
0.3                       -0.9                     0                        1.3141735262067938E-13+2.3028091128633603E-14i
0.3                       -0.3                     0.6                      1.3875591366084608E-10-3.5173951221465207E-10i
0.3                       -0.3                     -0.6                     -1.3849848271176584E-10+3.517473631311444E-10i
-0.6                      -0.6                     0                        9.686668926797646E-14+3.7651797275937304E-14i
-0.6                      -0.3                     0.3                      7.71926176831344E-11-1.8289212484629237E-10i
-0.6                      -0.3                     -0.3                     -7.694624238815514E-11+1.8287931825178951E-10i
-0.3                      -0.6                     0.3                      7.725094446077638E-11-1.8292893623486004E-10i
-0.3                      -0.6                     -0.3                     -7.690146464871189E-11+1.8286428606565814E-10i
-0.9                      -0.3                     0                        1.2880450850828102E-13-2.5352851874312627E-14i
-0.3                      -0.9                     0                        1.3258857267198128E-13+1.1752008465176728E-14i
-0.3                      -0.3                     0.6                      1.3880727214784102E-10-3.5180756134291804E-10i
-0.3                      -0.3                     -0.6                     -1.385400928130765E-10+3.517762886393365E-10i
0.6                       0                        0.6                      1.4476287680456713E-10-3.575931280159949E-10i
0.9                       0                        0.3                      8.21561654510451E-11-1.8839350784541203E-10i
