% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 10 2022, 17:18
% Dimension:          3
% Nodes:              665
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0                         0                        0                        -5.729033313576222E-14+4.8054299358724005E-14i
0.3                       0.3                      0                        -4.973102511129317E-14+4.241030662578484E-14i
-0.3                      0.3                      0                        -9.284964488701806E-15+5.273836798998698E-14i
0.3                       -0.3                     0                        -1.168290414567852E-13+4.271197342834937E-14i
-0.3                      -0.3                     0                        -9.414864984645095E-14+5.307294451629527E-14i
0.3                       0                        0.3                      -9.507139105130938E-11-5.857206635151016E-12i
-0.3                      0                        0.3                      -9.50380060389665E-11-5.848985693132359E-12i
0.3                       0                        -0.3                     9.493736632464055E-11+5.944138040821571E-12i
-0.3                      0                        -0.3                     9.494495128471018E-11+5.955073694756039E-12i
0                         0.3                      0.3                      -9.504394440912807E-11-5.856083598648504E-12i
0                         -0.3                     0.3                      -9.511468459339958E-11-5.853775853862552E-12i
0                         0.3                      -0.3                     9.492080095186132E-11+5.945998500848228E-12i
0                         -0.3                     -0.3                     9.487910405089902E-11+5.9472713286372104E-12i
0.6                       0                        0                        -1.4309115811095404E-13+3.4972719623340593E-14i
-0.6                      0                        0                        -1.7361511958629175E-14+5.909068801458348E-14i
0                         0.6                      0                        -6.114144846403295E-14+4.3229521552537654E-14i
0                         -0.6                     0                        -1.44140331059948E-13+4.762333177549787E-14i
0                         0                        0.6                      -1.8277537410050102E-10-1.1236480620845231E-11i
0                         0                        -0.6                     1.826267156417438E-10+1.1329561372517695E-11i
0.6                       0.6                      0                        -7.055489108994642E-14+3.549898626979873E-14i
0.6                       0.3                      0.3                      -9.994933531780565E-11-6.211754692026099E-12i
0.6                       0.3                      -0.3                     9.974985361741837E-11+6.282441468206343E-12i
0.3                       0.6                      0.3                      -9.989808388218627E-11-6.209031698982385E-12i
0.3                       0.6                      -0.3                     9.97960094427996E-11+6.288224536276894E-12i
0.9                       0.3                      0                        -1.1312971102919752E-13+3.199411182786432E-14i
0.3                       0.9                      0                        -5.720993357794562E-14+3.733215027397857E-14i
0.3                       0.3                      0.6                      -1.877819174020408E-10-1.160092930480784E-11i
0.3                       0.3                      -0.6                     1.876143130833065E-10+1.167931389837875E-11i
-0.6                      0.6                      0                        5.018353674465679E-14+5.856724907673671E-14i
-0.6                      0.3                      0.3                      -9.985821373888255E-11-6.19515261366943E-12i
-0.6                      0.3                      -0.3                     9.989843729126204E-11+6.312559661335645E-12i
-0.3                      0.6                      0.3                      -9.987905864595005E-11-6.202757013412885E-12i
-0.3                      0.6                      -0.3                     9.982325695864788E-11+6.300911933784183E-12i
-0.9                      0.3                      0                        3.0353209992614426E-14+6.267848150430116E-14i
-0.3                      0.9                      0                        3.742508848261922E-14+5.187661669726564E-14i
-0.3                      0.3                      0.6                      -1.8779033181259822E-10-1.1598523752708477E-11i
-0.3                      0.3                      -0.6                     1.877673157699116E-10+1.1703066313462744E-11i
0.6                       -0.6                     0                        -1.7047084727176272E-13+3.65196139282841E-14i
