% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 10 2022, 11:29
% Dimension:          3
% Nodes:              665
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0                         0                        0                        1.9334686765488556E-12-4.877222777334611E-13i
0.3                       0.3                      0                        1.5971787051918243E-12-3.564477389434892E-13i
-0.3                      0.3                      0                        1.8353979276649773E-12-2.262817348122405E-13i
0.3                       -0.3                     0                        2.0814288182012003E-12-1.009271677513891E-12i
-0.3                      -0.3                     0                        2.362855539184453E-12-6.003040051222797E-13i
0.3                       0                        0.3                      1.4840395753880693E-14-4.2837304913488766E-10i
-0.3                      0                        0.3                      2.307371434039241E-13-4.280985643810068E-10i
0.3                       0                        -0.3                     3.585048839256287E-12+4.272061848333059E-10i
-0.3                      0                        -0.3                     3.875949097962098E-12+4.273208076788019E-10i
0                         0.3                      0.3                      -7.88359371847239E-15-4.281197423119876E-10i
0                         -0.3                     0.3                      3.4892184779128953E-13-4.2861396126202325E-10i
0                         0.3                      -0.3                     3.554157895865172E-12+4.271618316705601E-10i
0                         -0.3                     -0.3                     4.133994068741149E-12+4.2686907827341694E-10i
0.6                       0                        0                        1.8995483033818412E-12-1.0358541514975263E-12i
-0.6                      0                        0                        2.1909097846093942E-12-1.517177377544493E-13i
0                         0.6                      0                        1.654622384154519E-12-4.433016698115703E-13i
0                         -0.6                     0                        2.4610521358574187E-12-1.0516407556643286E-12i
0                         0                        0.6                      -2.1360498692038155E-11-8.158099058622507E-10i
0                         0                        -0.6                     2.5256684024547286E-11+8.146355288046729E-10i
0.6                       0.6                      0                        1.3229845259991577E-12-2.2675986698102686E-13i
0.6                       0.3                      0.3                      1.3430884566762087E-11-4.5450452898535167E-10i
0.6                       0.3                      -0.3                     -1.0268306604048385E-11+4.533855546635846E-10i
0.3                       0.6                      0.3                      1.3332525744116763E-11-4.541450173676467E-10i
0.3                       0.6                      -0.3                     -1.0480249485945147E-11+4.5367648308224274E-10i
0.9                       0.3                      0                        1.5962716563835212E-12-5.699088862852292E-13i
0.3                       0.9                      0                        1.3083108040687853E-12-2.0752609735369594E-13i
0.3                       0.3                      0.6                      -7.367741696660705E-12-8.4317508770861E-10i
0.3                       0.3                      -0.6                     1.0507702093558372E-11+8.420646259224294E-10i
-0.6                      0.6                      0                        1.8145449474283723E-12-3.2357458313371363E-14i
-0.6                      0.3                      0.3                      1.3635836241522175E-11-4.542190189559574E-10i
-0.6                      0.3                      -0.3                     -9.811869597922516E-12+4.5401302684607424E-10i
-0.3                      0.6                      0.3                      1.351004672851738E-11-4.5434481144337385E-10i
-0.3                      0.6                      -0.3                     -9.976568801798944E-12+4.535252858946665E-10i
-0.9                      0.3                      0                        2.0944314586490215E-12-1.2688858260097725E-14i
-0.3                      0.9                      0                        1.653701722091982E-12-5.541113464508387E-14i
