% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 10 2022, 17:21
% Dimension:          3
% Nodes:              665
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0                         0                        0                        -5.822736788238938E-13-8.038395843849138E-13i
0.3                       0.3                      0                        -4.6284585375252E-13-1.2195773414899837E-12i
-0.3                      0.3                      0                        -2.759766081169255E-13-8.748287122890943E-14i
0.3                       -0.3                     0                        -9.782052774432539E-13-1.364107363806001E-12i
-0.3                      -0.3                     0                        -7.204540191470143E-13-5.644030527385893E-13i
0.3                       0                        0.3                      -2.2628852265860926E-10-6.501078795247171E-11i
-0.3                      0                        0.3                      -2.2594345308662043E-10-6.459225139533369E-11i
0.3                       0                        -0.3                     2.2492544563850298E-10+6.243883948187337E-11i
-0.3                      0                        -0.3                     2.2497019529486788E-10+6.393602009600641E-11i
0                         0.3                      0.3                      -2.2588098547209834E-10-6.496408839577938E-11i
0                         -0.3                     0.3                      -2.2648195911385614E-10-6.467937893600979E-11i
0                         0.3                      -0.3                     2.2496598366663172E-10+6.358937633992664E-11i
0                         -0.3                     -0.3                     2.2470962139471149E-10+6.271259538145479E-11i
0.6                       0                        0                        -9.505313847053194E-13-1.7591849286538787E-12i
-0.6                      0                        0                        -3.536675068708415E-13+9.373099287045035E-14i
0                         0.6                      0                        -3.3185864048539114E-13-5.671012719357571E-13i
0                         -0.6                     0                        -1.0712949891304223E-12-1.0980891634835878E-12i
0                         0                        0.6                      -4.315958742321795E-10-1.21512533655354E-10i
0                         0                        -0.6                     4.303199008219457E-10+1.1983585828834518E-10i
0.6                       0.6                      0                        -3.664580739946679E-13-1.8051387558043657E-12i
0.6                       0.3                      0.3                      -2.3966458095550125E-10-7.053704002922385E-11i
0.6                       0.3                      -0.3                     2.384087331595667E-10+6.694250861234723E-11i
0.3                       0.6                      0.3                      -2.3923774038905727E-10-7.044904787835295E-11i
0.3                       0.6                      -0.3                     2.3861980248603517E-10+6.798561570337549E-11i
0.9                       0.3                      0                        -6.960365960213602E-13-2.171446567048864E-12i
0.3                       0.9                      0                        -2.078429514338325E-13-1.2058291660046478E-12i
0.3                       0.3                      0.6                      -4.4536364277711517E-10-1.271231143607634E-10i
0.3                       0.3                      -0.6                     4.442765390175458E-10+1.2449823739604443E-10i
-0.6                      0.6                      0                        6.1989779211210116E-15+8.050248731150092E-13i
-0.6                      0.3                      0.3                      -2.3899233570925054E-10-6.9473609626028E-11i
-0.6                      0.3                      -0.3                     2.386761437258657E-10+7.042490799795952E-11i
-0.3                      0.6                      0.3                      -2.3898194991855103E-10-6.980130682783803E-11i
-0.3                      0.6                      -0.3                     2.3853881980022797E-10+7.010093379389606E-11i
-0.9                      0.3                      0                        -1.0967137474047073E-13+8.375741839739452E-13i
-0.3                      0.9                      0                        2.785156356574757E-14+3.800062339004069E-13i
-0.3                      0.3                      0.6                      -4.450467863224165E-10-1.2711644830240448E-10i
-0.3                      0.3                      -0.6                     4.4448950799544873E-10+1.2704938299216006E-10i
0.6                       -0.6                     0                        -1.4249741792839326E-12-1.7963594782565147E-12i
0.6                       -0.3                     0.3                      -2.402970659468766E-10-6.980598908142269E-11i
0.6                       -0.3                     -0.3                     2.378901435226278E-10+6.624236777851071E-11i
0.3                       -0.6                     0.3                      -2.4026872969060304E-10-6.945788795447762E-11i
0.3                       -0.6                     -0.3                     2.3790357209760043E-10+6.655390694761228E-11i
0.9                       -0.3                     0                        -1.091816418858934E-12-1.9687013599806472E-12i
0.3                       -0.9                     0                        -1.3927070613506935E-12-1.5225801802680252E-12i
0.3                       -0.3                     0.6                      -4.460411168752215E-10-1.260430418838847E-10i
0.3                       -0.3                     -0.6                     4.43880821465941E-10+1.2315026033484316E-10i
-0.6                      -0.6                     0                        -5.539379559072182E-13-3.50904509525193E-13i
-0.6                      -0.3                     0.3                      -2.394195730859521E-10-6.928279980719712E-11i
-0.6                      -0.3                     -0.3                     2.3841041489977036E-10+6.894778188249326E-11i
-0.3                      -0.6                     0.3                      -2.39910185663227E-10-6.938218348526704E-11i
-0.3                      -0.6                     -0.3                     2.381147172654464E-10+6.790087960079948E-11i
-0.9                      -0.3                     0                        -4.031529154286568E-13+1.0697392631559597E-13i
-0.3                      -0.9                     0                        -9.007814405388602E-13-8.153700291686371E-13i
-0.3                      -0.3                     0.6                      -4.4557425741137844E-10-1.262692829534495E-10i
-0.3                      -0.3                     -0.6                     4.4421388284709164E-10+1.2517733581527239E-10i
0.6                       0                        0.6                      -4.582524380120641E-10-1.3073609807839802E-10i
0.9                       0                        0.3                      -2.5008594755765E-10-7.337452141501057E-11i
0.3                       0                        0.9                      -6.235149193756516E-10-1.729533874328704E-10i
-0.6                      0                        0.6                      -4.574145454147065E-10-1.3086494723061986E-10i
-0.9                      0                        0.3                      -2.4917365747916124E-10-7.234770358799586E-11i
-0.3                      0                        0.9                      -6.228647301944057E-10-1.7329557221328006E-10i
0.6                       0                        -0.6                     4.5652674073920843E-10+1.2710707056500325E-10i
0.9                       0                        -0.3                     2.482423107593363E-10+6.921018711837356E-11i
0.3                       0                        -0.9                     6.22000244539004E-10+1.7016292114901704E-10i
-0.6                      0                        -0.6                     4.5666009212705994E-10+1.3116653408103896E-10i
-0.9                      0                        -0.3                     2.4859511914254197E-10+7.321468536477173E-11i
-0.3                      0                        -0.9                     6.221663599912651E-10+1.7280841302080292E-10i
0                         0.6                      0.6                      -4.572816366283746E-10-1.316391377697126E-10i
0                         0.9                      0.3                      -2.489867151432097E-10-7.32568767078304E-11i
0                         0.3                      0.9                      -6.231546965370357E-10-1.7390012012033804E-10i
0                         -0.6                     0.6                      -4.5850341446783297E-10-1.299730993015243E-10i
0                         -0.9                     0.3                      -2.504955751266731E-10-7.24775913953835E-11i
0                         -0.3                     0.9                      -6.236211972327322E-10-1.7249383091256979E-10i
0                         0.6                      -0.6                     4.569935836216515E-10+1.3064736423701455E-10i
0                         0.9                      -0.3                     2.488695453259492E-10+7.247622452138469E-11i
0                         0.3                      -0.9                     6.219102348928163E-10+1.7239021902316004E-10i
0                         -0.6                     -0.6                     4.56335494984044E-10+1.2771889005312256E-10i
0                         -0.9                     -0.3                     2.4802777513720024E-10+7.004572422012259E-11i
0                         -0.3                     -0.9                     6.21750251692247E-10+1.704088851407014E-10i
1.2                       0                        0                        -1.1982390143102563E-12-2.3440625178303586E-12i
-1.2                      0                        0                        -1.816936117177548E-13+6.288988037578714E-13i
0                         1.2                      0                        -1.1869731946372414E-13-4.0545016227141396E-13i
0                         -1.2                     0                        -1.265933419333825E-12-1.2519067129886454E-12i
0                         0                        1.2                      -7.531331347123723E-10-2.0258228339081122E-10i
0                         0                        -1.2                     7.517482167291036E-10+2.0079143319762434E-10i
0.9                       0.9                      0                        -1.223703051589415E-13-2.411096449126461E-12i
0.9                       0.6                      0.3                      -2.6776351109219686E-10-8.220567252723016E-11i
0.9                       0.6                      -0.3                     2.668434167311113E-10+7.741432896893163E-11i
0.6                       0.9                      0.3                      -2.673301249751132E-10-8.205881543012629E-11i
0.6                       0.9                      -0.3                     2.670788841509186E-10+7.81623566342175E-11i
1.2                       0.6                      0                        -5.041542643997128E-13-2.6134587904947914E-12i
0.6                       1.2                      0                        -2.30451564908883E-14-1.9184596290173558E-12i
0.6                       0.6                      0.6                      -4.891976658779693E-10-1.4487092344942861E-10i
0.6                       0.6                      -0.6                     4.884868211219073E-10+1.4081206764733243E-10i
0.9                       0.3                      0.6                      -4.972321799240696E-10-1.4572827025726278E-10i
1.2                       0.3                      0.3                      -2.7129321942981197E-10-8.13941928456071E-11i
0.6                       0.3                      0.9                      -6.660460813151495E-10-1.8945378166311167E-10i
0.9                       0.3                      -0.6                     4.958312408373582E-10+1.409811280258499E-10i
1.2                       0.3                      -0.3                     2.6982208573470145E-10+7.642231975585653E-11i
0.6                       0.3                      -0.9                     6.648879486223034E-10+1.8540065709165473E-10i
0.3                       0.9                      0.6                      -4.963265451254076E-10-1.4623129688845572E-10i
0.3                       1.2                      0.3                      -2.702936211831996E-10-8.11280124573969E-11i
0.3                       0.6                      0.9                      -6.652717956806118E-10-1.900018287569872E-10i
0.3                       0.9                      -0.6                     4.962331968709785E-10+1.436751435931539E-10i
0.3                       1.2                      -0.3                     2.703489581720986E-10+7.871601355500938E-11i
0.3                       0.6                      -0.9                     6.649082496146554E-10+1.8728800561788025E-10i
1.5                       0.3                      0                        -9.006384428247866E-13-2.5294549798855774E-12i
0.3                       1.5                      0                        -2.2424557504777478E-13-1.289492147805902E-12i
0.3                       0.3                      1.2                      -7.802626679875284E-10-2.130675953700491E-10i
0.3                       0.3                      -1.2                     7.793591832458443E-10+2.1022244891140938E-10i
-0.9                      0.9                      0                        2.4105246200600543E-13+1.7717219287937592E-12i
-0.9                      0.6                      0.3                      -2.66761893069929E-10-8.048274838801052E-11i
