% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 10 2022, 12:35
% Dimension:          3
% Nodes:              665
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0                         0                        0                        1.0415484759237983E-13+1.0234185222038574E-13i
0.3                       0.3                      0                        7.894947260930937E-14+1.4778373952384816E-13i
-0.3                      0.3                      0                        6.814677744925132E-14+1.3728203370472244E-13i
0.3                       -0.3                     0                        6.418492937773187E-14+1.3892575777206793E-13i
-0.3                      -0.3                     0                        1.3314221131258187E-14+1.5226139839173794E-13i
0.3                       0                        0.3                      6.23414274114548E-11-1.6425223814408012E-10i
-0.3                      0                        0.3                      6.242127018922903E-11-1.6436240590998917E-10i
0.3                       0                        -0.3                     -6.241315891161009E-11+1.647667537034464E-10i
-0.3                      0                        -0.3                     -6.235442760414188E-11+1.647147050143899E-10i
0                         0.3                      0.3                      5.571420616482684E-11-1.5744697582267204E-10i
0                         -0.3                     0.3                      5.5823930042453767E-11-1.5759196447226377E-10i
0                         0.3                      -0.3                     -5.580890161236956E-11+1.5800250427720417E-10i
0                         -0.3                     -0.3                     -5.575301721724227E-11+1.5791559156819905E-10i
0.6                       0                        0                        -1.4200947856767584E-14+2.612402937319246E-13i
-0.6                      0                        0                        2.6310790865691855E-14+1.4942593934273886E-13i
0                         0.6                      0                        6.365641385175822E-14+1.3218068566864347E-13i
0                         -0.6                     0                        1.2338638204932817E-14+1.4876508784995674E-13i
0                         0                        0.6                      1.2193447000941406E-10-3.262972160507628E-10i
0                         0                        -0.6                     -1.218740045313488E-10+3.2668112676925744E-10i
0.6                       0.6                      0                        -3.8816659672593796E-14+2.5889471197329013E-13i
0.6                       0.3                      0.3                      6.585733086495243E-11-1.6854259516926302E-10i
0.6                       0.3                      -0.3                     -6.584048671206111E-11+1.690380910000418E-10i
0.3                       0.6                      0.3                      4.7071087845264E-11-1.4835931708164322E-10i
0.3                       0.6                      -0.3                     -4.678014684927024E-11+1.4843873789955113E-10i
0.9                       0.3                      0                        2.7888526652160794E-14+2.2673387668419115E-13i
0.3                       0.9                      0                        -7.677818173782367E-14+3.4440491147489586E-13i
0.3                       0.3                      0.6                      1.194906837884812E-10-3.232321259611706E-10i
0.3                       0.3                      -0.6                     -1.1940476870867586E-10+3.2370521975001885E-10i
-0.6                      0.6                      0                        9.377947551086999E-15+1.9912997256838987E-13i
-0.6                      0.3                      0.3                      6.578914358488663E-11-1.685551168635449E-10i
-0.6                      0.3                      -0.3                     -6.584044452667211E-11+1.689919001571844E-10i
-0.3                      0.6                      0.3                      4.6852413172109146E-11-1.4812177037365904E-10i
-0.3                      0.6                      -0.3                     -4.6952983893765944E-11+1.4867073043697595E-10i
-0.9                      0.3                      0                        6.986055742369698E-15+1.8178519866270364E-13i
-0.3                      0.9                      0                        7.323227266419286E-14+6.948165482159395E-14i
-0.3                      0.3                      0.6                      1.1950468536640636E-10-3.2327956240078187E-10i
-0.3                      0.3                      -0.6                     -1.1952510121040992E-10+3.237957300990865E-10i
0.6                       -0.6                     0                        -2.383132207233424E-14+2.3773106748897734E-13i
0.6                       -0.3                     0.3                      6.585105938668583E-11-1.685786778156669E-10i
0.6                       -0.3                     -0.3                     -6.578906984826537E-11+1.689419766879104E-10i
0.3                       -0.6                     0.3                      4.693376531282448E-11-1.4823644909416927E-10i
0.3                       -0.6                     -0.3                     -4.6971972108979477E-11+1.4867941746624572E-10i
0.9                       -0.3                     0                        -3.984078636789772E-14+2.5300271506583326E-13i
0.3                       -0.9                     0                        -7.085540531801962E-14+2.7236304635600374E-13i
0.3                       -0.3                     0.6                      1.1948657678374963E-10-3.232268660126098E-10i
0.3                       -0.3                     -0.6                     -1.1936002907329373E-10+3.2359949628440136E-10i
-0.6                      -0.6                     0                        -6.35882598435292E-14+1.5811445560494166E-13i
-0.6                      -0.3                     0.3                      6.584969903626512E-11-1.6861760975337593E-10i
-0.6                      -0.3                     -0.3                     -6.592674115139474E-11+1.69006247080757E-10i
-0.3                      -0.6                     0.3                      4.687829149571613E-11-1.4823555837759513E-10i
-0.3                      -0.6                     -0.3                     -4.696392774657612E-11+1.4860250690148286E-10i
-0.9                      -0.3                     0                        -1.013074071809304E-13+2.156649821600814E-13i
-0.3                      -0.9                     0                        5.267666717913679E-14-3.6936500176864424E-14i
-0.3                      -0.3                     0.6                      1.1931108458210202E-10-3.231208353790596E-10i
-0.3                      -0.3                     -0.6                     -1.195468684251147E-10+3.23760838953271E-10i
0.6                       0                        0.6                      1.4524293893983562E-10-3.47904450575624E-10i
0.9                       0                        0.3                      7.917513704202847E-11-1.8427145526850794E-10i
0.3                       0                        0.9                      2.0024857823045154E-10-5.057827960076961E-10i
-0.6                      0                        0.6                      1.449689946533689E-10-3.4783256147346743E-10i
-0.9                      0                        0.3                      7.910014362600883E-11-1.8428543439225487E-10i
-0.3                      0                        0.9                      1.999074639560217E-10-5.055965613529879E-10i
0.6                       0                        -0.6                     -1.4495460133822166E-10+3.482844616372946E-10i
0.9                       0                        -0.3                     -7.90151753764234E-11+1.8461035282146094E-10i
0.3                       0                        -0.9                     -1.999247910950544E-10+5.060503125578745E-10i
-0.6                      0                        -0.6                     -1.448879836341881E-10+3.481961844776157E-10i
-0.9                      0                        -0.3                     -7.914287454328843E-11+1.846910943005784E-10i
-0.3                      0                        -0.9                     -2.0013124070972386E-10+5.062074869903646E-10i
0                         0.6                      0.6                      8.975479826059611E-11-2.93043611554323E-10i
0                         0.9                      0.3                      2.6784277945395247E-11-1.250880287668411E-10i
0                         0.3                      0.9                      1.7472964338683994E-10-4.836423792865949E-10i
0                         -0.6                     0.6                      8.973695821710305E-11-2.9306748746801047E-10i
0                         -0.9                     0.3                      2.6729089104068464E-11-1.2511521431802692E-10i
0                         -0.3                     0.9                      1.7482655436617287E-10-4.837156589575346E-10i
0                         0.6                      -0.6                     -8.982580145081305E-11+2.935497511396135E-10i
0                         0.9                      -0.3                     -2.6800222547864812E-11+1.255653219881881E-10i
0                         0.3                      -0.9                     -1.7485509075698033E-10+4.841905144891415E-10i
0                         -0.6                     -0.6                     -8.974512695974801E-11+2.9342520464343783E-10i
0                         -0.9                     -0.3                     -2.6897551273271746E-11+1.25605195909506E-10i
0                         -0.3                     -0.9                     -1.7473899668603956E-10+4.84039811510309E-10i
1.2                       0                        0                        -1.2448249981519917E-14+8.606472065761404E-14i
-1.2                      0                        0                        -5.6369413863373944E-14+1.935599903665995E-13i
0                         1.2                      0                        -4.185728805959552E-14+1.714437889409207E-13i
0                         -1.2                     0                        -2.842873549052413E-14+3.129798873501451E-13i
0                         0                        1.2                      2.691985332860713E-10-6.867194473400892E-10i
0                         0                        -1.2                     -2.6936901906377863E-10+6.873816235344664E-10i
0.9                       0.9                      0                        -8.010737518809074E-16+2.871501393331723E-13i
0.9                       0.6                      0.3                      6.529284569085946E-11-1.7260613554850676E-10i
0.9                       0.6                      -0.3                     -6.574096472358583E-11+1.7343453653042592E-10i
0.6                       0.9                      0.3                      3.5868380411244063E-11-1.3719612580185923E-10i
0.6                       0.9                      -0.3                     -3.590712177265798E-11+1.3764687155370642E-10i
1.2                       0.6                      0                        1.5689508075635276E-13+2.0152385713130272E-13i
0.6                       1.2                      0                        -7.48961607171876E-14+2.5902265871880653E-13i
0.6                       0.6                      0.6                      1.1193084722071665E-10-3.164282528208572E-10i
0.6                       0.6                      -0.6                     -1.1203715393518892E-10+3.17043442034783E-10i
0.9                       0.3                      0.6                      1.6020710742006514E-10-3.670563489784757E-10i
1.2                       0.3                      0.3                      1.130637162577154E-10-1.637112367859246E-10i
0.6                       0.3                      0.9                      2.153508407399447E-10-5.157304089228325E-10i
0.9                       0.3                      -0.6                     -1.6044626020145685E-10+3.677378374353959E-10i
1.2                       0.3                      -0.3                     -1.1296078767120473E-10+1.6400923611465386E-10i
0.6                       0.3                      -0.9                     -2.1494517257470743E-10+5.161986190332427E-10i
0.3                       0.9                      0.6                      5.851649571437579E-11-2.5881642635836606E-10i
0.3                       1.2                      0.3                      5.3946407334620946E-12-9.765497317424142E-11i
0.3                       0.6                      0.9                      1.4434222077253634E-10-4.5164490864629174E-10i
0.3                       0.9                      -0.6                     -5.854225717423601E-11+2.5926934131189876E-10i
0.3                       1.2                      -0.3                     -5.523909831823299E-12+9.820232686665116E-11i
0.3                       0.6                      -0.9                     -1.4443795351144874E-10+4.521584682876091E-10i
1.5                       0.3                      0                        -1.4929283347744985E-14+4.5238481596500676E-14i
0.3                       1.5                      0                        1.77271039866744E-13-5.801027038813521E-13i
0.3                       0.3                      1.2                      2.534906813865794E-10-6.676412915477885E-10i
0.3                       0.3                      -1.2                     -2.5339128072129406E-10+6.682072368823928E-10i
-0.9                      0.9                      0                        -1.0091378996637984E-14+2.4866129493956964E-13i
-0.9                      0.6                      0.3                      6.528918119955841E-11-1.72839255295769E-10i
-0.9                      0.6                      -0.3                     -6.530819308005343E-11+1.731573130440405E-10i
-0.6                      0.9                      0.3                      3.590471901002438E-11-1.3729005193049408E-10i
-0.6                      0.9                      -0.3                     -3.592244869649074E-11+1.3780207362420707E-10i
-1.2                      0.6                      0                        -9.026679631947799E-14+1.9263975578701548E-13i
-0.6                      1.2                      0                        2.0595677640948814E-14+1.7014213474049836E-13i
-0.6                      0.6                      0.6                      1.1192961514343754E-10-3.164495699973826E-10i
-0.6                      0.6                      -0.6                     -1.1175004020384683E-10+3.1673956914024634E-10i
-0.9                      0.3                      0.6                      1.6014787421431638E-10-3.672895087426304E-10i
-1.2                      0.3                      0.3                      1.1293112510269235E-10-1.6372599273046528E-10i
-0.6                      0.3                      0.9                      2.1527705304742594E-10-5.15866932451637E-10i
-0.9                      0.3                      -0.6                     -1.6045278282374524E-10+3.67765316656757E-10i
-1.2                      0.3                      -0.3                     -1.130794300859669E-10+1.6395967028037799E-10i
-0.6                      0.3                      -0.9                     -2.1490896808652558E-10+5.161052993084912E-10i
-0.3                      0.9                      0.6                      5.84623765439656E-11-2.587898455560349E-10i
-0.3                      1.2                      0.3                      5.410979288152284E-12-9.756668713881077E-11i
-0.3                      0.6                      0.9                      1.4437926273191776E-10-4.516913593840429E-10i
-0.3                      0.9                      -0.6                     -5.84988507357776E-11+2.5923752123272854E-10i
-0.3                      1.2                      -0.3                     -5.408988185713483E-12+9.80031763005456E-11i
-0.3                      0.6                      -0.9                     -1.443102385892355E-10+4.521103350618395E-10i
-1.5                      0.3                      0                        -5.184978114529511E-14+5.4952088305908456E-14i
