% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 10 2022, 12:27
% Dimension:          3
% Nodes:              665
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0                         0                        0                        -1.0946619833141553E-13-1.9137406307589597E-13i
0.3                       0.3                      0                        2.2241741539273178E-13+5.937096185078048E-13i
-0.3                      0.3                      0                        -3.922978481986758E-13-5.187567233001154E-14i
0.3                       -0.3                     0                        4.2497046379799806E-14-2.0338275531310978E-13i
-0.3                      -0.3                     0                        -8.576362406726602E-13-4.2764684572494066E-13i
0.3                       0                        0.3                      3.54017084393494E-12-4.363619124782187E-10i
-0.3                      0                        0.3                      2.731012169073557E-12-4.3743219802180727E-10i
0.3                       0                        -0.3                     -3.816054563059144E-12+4.380614671711621E-10i
-0.3                      0                        -0.3                     -3.8873968619429035E-12+4.3736276668234324E-10i
0                         0.3                      0.3                      -1.3533176704006108E-11-4.034409445600762E-10i
0                         -0.3                     0.3                      -1.346781715152122E-11-4.0459924952103905E-10i
0                         0.3                      -0.3                     1.2793356938925605E-11+4.0523999887257215E-10i
0                         -0.3                     -0.3                     1.270971397643174E-11+4.042085147518993E-10i
0.6                       0                        0                        2.7340566274264126E-13+9.634613873609424E-13i
-0.6                      0                        0                        -9.169702007382336E-13-2.9216465762999525E-13i
0                         0.6                      0                        -2.006540518873132E-13+3.492493033930419E-13i
0                         -0.6                     0                        -5.516671242152581E-13-5.972683743242853E-13i
0                         0                        0.6                      -2.705887859487605E-12-8.621275120264677E-10i
0                         0                        -0.6                     2.005302656950049E-12+8.626817203621151E-10i
0.6                       0.6                      0                        4.5090834564549104E-14+1.6344183523782522E-12i
0.6                       0.3                      0.3                      9.215872774836274E-12-4.5577761940965195E-10i
0.6                       0.3                      -0.3                     -8.239685325097155E-12+4.5890561304361547E-10i
0.3                       0.6                      0.3                      -3.418375445346164E-11-3.5989172928202774E-10i
0.3                       0.6                      -0.3                     3.456398138089951E-11+3.605180167665386E-10i
0.9                       0.3                      0                        5.867873669196684E-13+1.4445448654421112E-12i
0.3                       0.9                      0                        -2.259659115204614E-13+1.4508106019325103E-12i
0.3                       0.3                      0.6                      -4.989228982271943E-12-8.462840158380548E-10i
0.3                       0.3                      -0.6                     5.8666132846582445E-12+8.487688461007985E-10i
-0.6                      0.6                      0                        -5.47181735970392E-13+1.3343766316569758E-13i
-0.6                      0.3                      0.3                      6.956891313038459E-12-4.5756136683979056E-10i
-0.6                      0.3                      -0.3                     -8.810345591183506E-12+4.579266724754231E-10i
-0.3                      0.6                      0.3                      -3.54027439135144E-11-3.5968726634857514E-10i
-0.3                      0.6                      -0.3                     3.4316371489983954E-11+3.611015525322794E-10i
-0.9                      0.3                      0                        -8.874908459001945E-13-1.0137996749736613E-14i
-0.3                      0.9                      0                        -4.623232725042415E-13-6.692328256907758E-14i
-0.3                      0.3                      0.6                      -6.497417326375813E-12-8.477052275168441E-10i
-0.3                      0.3                      -0.6                     5.413788428725894E-12+8.48643541245751E-10i
0.6                       -0.6                     0                        2.3857200844968985E-13-1.5174882494716198E-13i
0.6                       -0.3                     0.3                      8.776367852816312E-12-4.5726427515969244E-10i
0.6                       -0.3                     -0.3                     -8.340648394674635E-12+4.572687297598891E-10i
0.3                       -0.6                     0.3                      -3.4653366775107876E-11-3.6060555049100737E-10i
0.3                       -0.6                     -0.3                     3.4439160840803856E-11+3.6031402839817677E-10i
0.9                       -0.3                     0                        2.1645452991329945E-13+4.913633568129584E-13i
0.3                       -0.9                     0                        -1.442371124616664E-13-2.854801271088919E-13i
0.3                       -0.3                     0.6                      -5.022220776307673E-12-8.46912322087632E-10i
0.3                       -0.3                     -0.6                     5.555683469890845E-12+8.473615100251723E-10i
-0.6                      -0.6                     0                        -1.6918038077198972E-12-9.868174646406115E-13i
