% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 10 2022, 17:25
% Dimension:          3
% Nodes:              665
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0                         0                        0                        6.714601506002242E-13+6.211459571418737E-14i
0.3                       0.3                      0                        7.186168804468852E-13+6.887345201496023E-14i
-0.3                      0.3                      0                        6.746546986001148E-13+5.906522951090766E-14i
0.3                       -0.3                     0                        7.498357368109815E-13+7.221212193202365E-14i
-0.3                      -0.3                     0                        7.483760145225315E-13+6.664137924265555E-14i
0.3                       0                        0.3                      -9.708917501942205E-11-6.088619896601688E-12i
-0.3                      0                        0.3                      -9.73137253250107E-11-6.122744386794775E-12i
0.3                       0                        -0.3                     9.874179617896406E-11+6.241544880100803E-12i
-0.3                      0                        -0.3                     9.871191824445331E-11+6.241340915228688E-12i
0                         0.3                      0.3                      -9.097627962505954E-11-5.653623600049391E-12i
0                         -0.3                     0.3                      -9.105860749866924E-11-5.657829557031272E-12i
0                         0.3                      -0.3                     9.258657507430503E-11+5.795733554432235E-12i
0                         -0.3                     -0.3                     9.254946694821972E-11+5.794248159784115E-12i
0.6                       0                        0                        8.343243669051408E-13+7.974288841469159E-14i
-0.6                      0                        0                        6.939753792729965E-13+5.820901815384413E-14i
0                         0.6                      0                        7.134316177501039E-13+6.684508409338585E-14i
0                         -0.6                     0                        7.963647085540631E-13+7.533833615484497E-14i
0                         0                        0.6                      -1.9250930974564343E-10-1.2079397251584135E-11i
0                         0                        -0.6                     1.9394857381094764E-10+1.220543492940291E-11i
0.6                       0.6                      0                        8.5921992544445E-13+8.344762746807274E-14i
0.6                       0.3                      0.3                      -1.0032262905451348E-10-6.302506429167343E-12i
0.6                       0.3                      -0.3                     1.0193555307549831E-10+6.45836072517514E-12i
0.3                       0.6                      0.3                      -8.27742059918892E-11-5.051269702350644E-12i
0.3                       0.6                      -0.3                     8.409928122694949E-11+5.184548247972373E-12i
0.9                       0.3                      0                        8.073138620749344E-13+7.988042487827027E-14i
0.3                       0.9                      0                        9.018934853840737E-13+8.495115918172323E-14i
0.3                       0.3                      0.6                      -1.901331384212133E-10-1.1903179383243691E-11i
0.3                       0.3                      -0.6                     1.916200281621849E-10+1.204161588640218E-11i
-0.6                      0.6                      0                        7.239563277863728E-13+6.233733601717733E-14i
-0.6                      0.3                      0.3                      -1.0051545284453547E-10-6.347074849282658E-12i
-0.6                      0.3                      -0.3                     1.0195921102549861E-10+6.4633020516225924E-12i
-0.3                      0.6                      0.3                      -8.268680951657738E-11-5.0596200943738804E-12i
-0.3                      0.6                      -0.3                     8.426280311389238E-11+5.195192560254178E-12i
-0.9                      0.3                      0                        6.970363779847112E-13+5.733465750794767E-14i
-0.3                      0.9                      0                        6.918250103314321E-13+6.566052104090787E-14i
-0.3                      0.3                      0.6                      -1.9041009060581005E-10-1.1955346663474598E-11i
-0.3                      0.3                      -0.6                     1.9182374528409973E-10+1.2066871837970386E-11i
0.6                       -0.6                     0                        8.757187963864445E-13+8.547000400905593E-14i
0.6                       -0.3                     0.3                      -1.0028934340904672E-10-6.2985793491192045E-12i
0.6                       -0.3                     -0.3                     1.0190015277364563E-10+6.456575832958872E-12i
0.3                       -0.6                     0.3                      -8.261521936874046E-11-5.038234359460468E-12i
0.3                       -0.6                     -0.3                     8.430235494923045E-11+5.199053217845618E-12i
0.9                       -0.3                     0                        8.826832898524487E-13+8.616575101563216E-14i
0.3                       -0.9                     0                        9.261382461804583E-13+8.910579263075018E-14i
0.3                       -0.3                     0.6                      -1.901181209599591E-10-1.1901682164764124E-11i
0.3                       -0.3                     -0.6                     1.915840813783094E-10+1.2039885169637164E-11i
-0.6                      -0.6                     0                        8.462626839024015E-13+7.702457517391785E-14i
-0.6                      -0.3                     0.3                      -1.0054355443057519E-10-6.346662177101294E-12i
-0.6                      -0.3                     -0.3                     1.0207330995396045E-10+6.474735149398974E-12i
-0.3                      -0.6                     0.3                      -8.266148420321922E-11-5.05280737355237E-12i
-0.3                      -0.6                     -0.3                     8.430611560954067E-11+5.2017055819420845E-12i
-0.9                      -0.3                     0                        8.321251627071672E-13+7.102449272090876E-14i
-0.3                      -0.9                     0                        7.720550696051347E-13+7.754983693814094E-14i
-0.3                      -0.3                     0.6                      -1.902128939724685E-10-1.1938330324618763E-11i
-0.3                      -0.3                     -0.6                     1.918624115044444E-10+1.2071559415912551E-11i
0.6                       0                        0.6                      -2.14096371177803E-10-1.3664762224294449E-11i
0.9                       0                        0.3                      -1.1301858450192156E-10-7.190026135063876E-12i
0.3                       0                        0.9                      -3.0498309871592067E-10-1.9303049112616543E-11i
-0.6                      0                        0.6                      -2.1440824965622508E-10-1.3751829400819793E-11i
-0.9                      0                        0.3                      -1.1329959071981608E-10-7.2513976290231914E-12i
-0.3                      0                        0.9                      -3.051772853719699E-10-1.937458247635765E-11i
0.6                       0                        -0.6                     2.1545769172192053E-10+1.3799441467552077E-11i
0.9                       0                        -0.3                     1.145315930883607E-10+7.341933303373448E-12i
0.3                       0                        -0.9                     3.0626157407053196E-10+1.9425594191419508E-11i
-0.6                      0                        -0.6                     2.156073115602437E-10+1.3833782799736787E-11i
-0.9                      0                        -0.3                     1.1471440422800682E-10+7.362241644839686E-12i
-0.3                      0                        -0.9                     3.066683062936886E-10+1.948006130642836E-11i
0                         0.6                      0.6                      -1.6265452557347793E-10-9.921580585113382E-12i
0                         0.9                      0.3                      -6.367001689278588E-11-3.710263568749918E-12i
0                         0.3                      0.9                      -2.816519907407267E-10-1.756483355247241E-11i
0                         -0.6                     0.6                      -1.6260517630476356E-10-9.915160588699108E-12i
0                         -0.9                     0.3                      -6.357302063688729E-11-3.699190357730603E-12i
0                         -0.3                     0.9                      -2.817186535090475E-10-1.7568763224927192E-11i
0                         0.6                      -0.6                     1.642356841147798E-10+1.0062326081157739E-11i
0                         0.9                      -0.3                     6.526962514776486E-11+3.859101644313222E-12i
0                         0.3                      -0.9                     2.8320192996304837E-10+1.769525750476234E-11i
0                         -0.6                     -0.6                     1.6417880195067852E-10+1.0059560799472269E-11i
0                         -0.9                     -0.3                     6.539655831686901E-11+3.871121330432243E-12i
0                         -0.3                     -0.9                     2.8311501244583075E-10+1.7690096885073125E-11i
1.2                       0                        0                        5.46083908477288E-13+6.908583891589209E-14i
-1.2                      0                        0                        6.608992759882067E-13+5.0184448100969E-14i
0                         1.2                      0                        8.299606965031071E-13+8.07088924592085E-14i
0                         -1.2                     0                        9.565726688621E-13+9.194821504770911E-14i
0                         0                        1.2                      -4.074769315021455E-10-2.5561460953301942E-11i
0                         0                        -1.2                     4.090729526777776E-10+2.5691729451923924E-11i
0.9                       0.9                      0                        8.96920989418397E-13+9.063857477837798E-14i
0.9                       0.6                      0.3                      -9.989679192410336E-11-6.181078764634072E-12i
0.9                       0.6                      -0.3                     1.0188812229283994E-10+6.370350853727543E-12i
0.6                       0.9                      0.3                      -7.199686228384557E-11-4.2478333551603335E-12i
0.6                       0.9                      -0.3                     7.370052203364876E-11+4.417755099646928E-12i
1.2                       0.6                      0                        8.702056149158263E-13+7.672967101002234E-14i
0.6                       1.2                      0                        9.435399528439134E-13+9.529964647087892E-14i
0.6                       0.6                      0.6                      -1.8263123730174394E-10-1.1314649923628009E-11i
0.6                       0.6                      -0.6                     1.8433571465156565E-10+1.1479368695724582E-11i
0.9                       0.3                      0.6                      -2.2795565636460954E-10-1.4581818285968602E-11i
1.2                       0.3                      0.3                      -6.018875097848295E-11-6.45591636330663E-12i
0.6                       0.3                      0.9                      -3.1895978351372004E-10-2.040832923315739E-11i
0.9                       0.3                      -0.6                     2.297860754654016E-10+1.4760086987787258E-11i
1.2                       0.3                      -0.3                     6.151844400381033E-11+6.601170156148962E-12i
0.6                       0.3                      -0.9                     3.201932382468529E-10+2.0533472875947336E-11i
0.3                       0.9                      0.6                      -1.3324980034414895E-10-7.812970955134864E-12i
0.3                       1.2                      0.3                      -4.2739830869489904E-11-2.2601213427030127E-12i
0.3                       0.6                      0.9                      -2.5356553555995335E-10-1.5538280171731466E-11i
0.3                       0.9                      -0.6                     1.3487816034540291E-10+7.969501276922931E-12i
0.3                       1.2                      -0.3                     4.453220045132498E-11+2.4345260616066905E-12i
0.3                       0.6                      -0.9                     2.552116089106248E-10+1.5692337761730517E-11i
1.5                       0.3                      0                        3.539192916473234E-13+5.563362092795616E-14i
0.3                       1.5                      0                        6.572348780974317E-13+8.366511341394276E-14i
0.3                       0.3                      1.2                      -3.9461496389883296E-10-2.474103056738771E-11i
0.3                       0.3                      -1.2                     3.9604548166864634E-10+2.4872715025908176E-11i
-0.9                      0.9                      0                        7.811646968466841E-13+7.068375235654313E-14i
-0.9                      0.6                      0.3                      -1.0013985908574544E-10-6.226588443138442E-12i
-0.9                      0.6                      -0.3                     1.0156220171978768E-10+6.346541683097931E-12i
-0.6                      0.9                      0.3                      -7.217334092525546E-11-4.277899494115496E-12i
-0.6                      0.9                      -0.3                     7.371080587940062E-11+4.413500609176415E-12i
-1.2                      0.6                      0                        6.093632047229155E-13+5.2031947400880523E-14i
-0.6                      1.2                      0                        7.771319312814996E-13+7.45329824947809E-14i
-0.6                      0.6                      0.6                      -1.8296590876756618E-10-1.1384757728684823E-11i
-0.6                      0.6                      -0.6                     1.8417338665660943E-10+1.1479477157550395E-11i
-0.9                      0.3                      0.6                      -2.2854755874651724E-10-1.4701013573384635E-11i
-1.2                      0.3                      0.3                      -6.052557484471701E-11-6.527765038310245E-12i
-0.6                      0.3                      0.9                      -3.198570178387644E-10-2.0585155631198198E-11i
-0.9                      0.3                      -0.6                     2.3000888925840374E-10+1.480022337269634E-11i
-1.2                      0.3                      -0.3                     6.141231904019042E-11+6.604482523706891E-12i
-0.6                      0.3                      -0.9                     3.205351245325606E-10+2.060028961956167E-11i
-0.3                      0.9                      0.6                      -1.3333540616755389E-10-7.835310159510339E-12i
-0.3                      1.2                      0.3                      -4.2794137008724156E-11-2.2720929682721462E-12i
-0.3                      0.6                      0.9                      -2.5391012897210884E-10-1.5601791015286107E-11i
-0.3                      0.9                      -0.6                     1.3485482631709476E-10+7.96925799864627E-12i
-0.3                      1.2                      -0.3                     4.437389417273816E-11+2.4204818330356308E-12i
-0.3                      0.6                      -0.9                     2.552211073458002E-10+1.5704615312130284E-11i
-1.5                      0.3                      0                        2.3822143147294293E-13+1.7192834964953953E-14i
-0.3                      1.5                      0                        7.554373897734904E-13+8.06380088143459E-14i
-0.3                      0.3                      1.2                      -3.9518956370140485E-10-2.4849357782863417E-11i
-0.3                      0.3                      -1.2                     3.967155239005235E-10+2.4952599274572642E-11i
0.9                       -0.9                     0                        9.896334715291716E-13+9.85246725990138E-14i
0.9                       -0.6                     0.3                      -9.98736116612811E-11-6.175076875848743E-12i
0.9                       -0.6                     -0.3                     1.015738972654185E-10+6.346437200922342E-12i
0.6                       -0.9                     0.3                      -7.193967686377999E-11-4.2413290212508995E-12i
0.6                       -0.9                     -0.3                     7.378939512118089E-11+4.4229257886561614E-12i
1.2                       -0.6                     0                        6.592924641568673E-13+7.427283088423626E-14i
0.6                       -1.2                     0                        9.982677327725245E-13+1.0119631083902088E-13i
0.6                       -0.6                     0.6                      -1.8260044599196206E-10-1.1310254337603801E-11i
0.6                       -0.6                     -0.6                     1.842057539783156E-10+1.146778201708525E-11i
0.9                       -0.3                     0.6                      -2.2797562204083909E-10-1.4582021388948567E-11i
1.2                       -0.3                     0.3                      -5.996518105382693E-11-6.447158763630454E-12i
0.6                       -0.3                     0.9                      -3.1908493166220206E-10-2.0420523497823627E-11i
0.9                       -0.3                     -0.6                     2.2977577983823436E-10+1.475828983411345E-11i
1.2                       -0.3                     -0.3                     6.105485890117468E-11+6.595892589814003E-12i
0.6                       -0.3                     -0.9                     3.203371471642312E-10+2.0545871031435578E-11i
0.3                       -0.9                     0.6                      -1.3314212728071673E-10-7.802956483227106E-12i
0.3                       -1.2                     0.3                      -4.269005506565147E-11-2.2548347367487483E-12i
0.3                       -0.6                     0.9                      -2.536786286758439E-10-1.5546348030918256E-11i
0.3                       -0.9                     -0.6                     1.348648928112503E-10+7.969300281674044E-12i
0.3                       -1.2                     -0.3                     4.4504983462377854E-11+2.4366794212026716E-12i
0.3                       -0.6                     -0.9                     2.551663978842746E-10+1.5688047497939755E-11i
1.5                       -0.3                     0                        2.825715002713561E-13+5.734561408517943E-14i
0.3                       -1.5                     0                        8.7261347223211E-13+9.693216903125717E-14i
0.3                       -0.3                     1.2                      -3.945488890286955E-10-2.4734621756195695E-11i
0.3                       -0.3                     -1.2                     3.960369391768074E-10+2.4871596807642094E-11i
-0.9                      -0.9                     0                        9.21517780087117E-13+9.104794208624512E-14i
-0.9                      -0.6                     0.3                      -1.0003260755005487E-10-6.213503981023468E-12i
-0.9                      -0.6                     -0.3                     1.0183905270403967E-10+6.373860335503979E-12i
-0.6                      -0.9                     0.3                      -7.2042924024454E-11-4.2596141200781665E-12i
-0.6                      -0.9                     -0.3                     7.385394062848907E-11+4.43205130723989E-12i
-1.2                      -0.6                     0                        7.950449614832949E-13+6.523606226635145E-14i
-0.6                      -1.2                     0                        9.328455104787961E-13+9.602101318227255E-14i
-0.6                      -0.6                     0.6                      -1.8287383941933067E-10-1.13697156508119E-11i
-0.6                      -0.6                     -0.6                     1.8452571531563868E-10+1.1508923146311495E-11i
-0.9                      -0.3                     0.6                      -2.2869107246426263E-10-1.470734167028424E-11i
-1.2                      -0.3                     0.3                      -6.066827247321095E-11-6.524146480123078E-12i
-0.6                      -0.3                     0.9                      -3.199436556848856E-10-2.0589755883118712E-11i
-0.9                      -0.3                     -0.6                     2.3007507260457695E-10+1.4808521653803366E-11i
-1.2                      -0.3                     -0.3                     6.152841190396065E-11+6.616891882659474E-12i
-0.6                      -0.3                     -0.9                     3.2108600169371433E-10+2.0642993660681994E-11i
-0.3                      -0.9                     0.6                      -1.3321603786081624E-10-7.82057646685915E-12i
-0.3                      -1.2                     0.3                      -4.271113866540848E-11-2.258636174306269E-12i
-0.3                      -0.6                     0.9                      -2.5383083735449867E-10-1.5590133580350988E-11i
-0.3                      -0.9                     -0.6                     1.3491581376254487E-10+7.977642438255577E-12i
-0.3                      -1.2                     -0.3                     4.4516298076008154E-11+2.4376301192047634E-12i
-0.3                      -0.6                     -0.9                     2.5526517947977006E-10+1.570996899463076E-11i
-1.5                      -0.3                     0                        4.252179719366361E-13+2.925249148176941E-14i
-0.3                      -1.5                     0                        8.621583824936735E-13+9.626432672219035E-14i
-0.3                      -0.3                     1.2                      -3.9536856271288166E-10-2.4862741893636265E-11i
-0.3                      -0.3                     -1.2                     3.9669496538696196E-10+2.495782529100078E-11i
0.9                       0                        0.9                      -3.774112097333563E-10-2.4864113833110943E-11i
1.2                       0                        0.6                      -1.2979506952051234E-10-1.399077798421554E-11i
0.6                       0                        1.2                      -4.741433058628184E-10-3.109305420865703E-11i
1.5                       0                        0.3                      4.0029976005284846E-11-4.97511281493546E-12i
0.3                       0                        1.5                      -6.030879369722062E-10-3.8447335835484537E-11i
-0.9                      0                        0.9                      -3.787010040941258E-10-2.514631700526917E-11i
-1.2                      0                        0.6                      -1.3135651393103957E-10-1.4170726636741166E-11i
-0.6                      0                        1.2                      -4.761905974861068E-10-3.1463122168341685E-11i
-1.5                      0                        0.3                      3.939322742971706E-11-5.067401460720317E-12i
-0.3                      0                        1.5                      -6.017523636147271E-10-3.8407762423365546E-11i
0.9                       0                        -0.9                     3.784931474838113E-10+2.497065413050132E-11i
1.2                       0                        -0.6                     1.3131236222643895E-10+1.4165785254699062E-11i
0.6                       0                        -1.2                     4.75218334339339E-10+3.119521539474617E-11i
1.5                       0                        -0.3                     -3.890970648136379E-11+5.089232791567966E-12i
0.3                       0                        -1.5                     6.02643520207109E-10+3.8433222480616934E-11i
-0.9                      0                        -0.9                     3.7977515470881664E-10+2.5159980562940734E-11i
-1.2                      0                        -0.6                     1.316101571112102E-10+1.419816087545998E-11i
-0.6                      0                        -1.2                     4.760581324121245E-10+3.136831252182374E-11i
-1.5                      0                        -0.3                     -3.939946515609594E-11+5.085202123321042E-12i
-0.3                      0                        -1.5                     5.975473581824826E-10+3.805628816158863E-11i
0                         0.9                      0.9                      6.465552245192678E-11-1.121290286255436E-11i
0                         1.2                      0.6                      9.664667059985818E-11-5.646619946717783E-12i
0                         0.6                      1.2                      2.958191906635823E-11-1.7938854011742716E-11i
0                         1.5                      0.3                      9.434489949910592E-11-1.936716458257067E-12i
0                         0.3                      1.5                      6.500995475960852E-11-2.4323175542175462E-11i
0                         -0.9                     0.9                      6.448800032385831E-11-1.1213965624942374E-11i
0                         -1.2                     0.6                      9.673208986761386E-11-5.637945710287387E-12i
0                         -0.6                     1.2                      2.9817521587470034E-11-1.7933120332097336E-11i
0                         -1.5                     0.3                      9.495588031475073E-11-1.9474073050342226E-12i
0                         -0.3                     1.5                      7.006912183040022E-11-2.4208191234639024E-11i
0                         0.9                      -0.9                     -6.358013710071152E-11+1.1317107199334562E-11i
0                         1.2                      -0.6                     -9.551993124759875E-11+5.763227768164998E-12i
