% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 11 2022, 16:43
% Dimension:          3
% Nodes:              891
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0                         0                        0                        6.114068784319595E-12+6.085575614510731E-12i
0.15                      0.15                     0                        6.205455643131239E-12+6.274103199757543E-12i
-0.15                     0.15                     0                        6.208555919883267E-12+6.270098078005001E-12i
0.15                      -0.15                    0                        6.2158393374100166E-12+6.231884060526273E-12i
-0.15                     -0.15                    0                        6.218703394428991E-12+6.227823209911921E-12i
0.15                      0                        0.15                     -9.667488102518258E-11-2.155284735051755E-11i
-0.15                     0                        0.15                     -9.667092711895998E-11-2.155632548713974E-11i
0.15                      0                        -0.15                    1.0880074988463998E-10+3.356540866547974E-11i
-0.15                     0                        -0.15                    1.0880324284298206E-10+3.3561254966849347E-11i
0                         0.15                     0.15                     -9.667569374467367E-11-2.1535073422725718E-11i
0                         -0.15                    0.15                     -9.666486477984194E-11-2.1577323819423397E-11i
0                         0.15                     -0.15                    1.0880044202182702E-10+3.3583309105478284E-11i
0                         -0.15                    -0.15                    1.0880973940703162E-10+3.3541010934482226E-11i
0.3                       0                        0                        6.301474770555439E-12+6.4257817264667216E-12i
-0.3                      0                        0                        6.307894256264095E-12+6.4189885420637835E-12i
0                         0.3                      0                        6.306842281259873E-12+6.461263834878296E-12i
0                         -0.3                     0                        6.3276139811055185E-12+6.37419209389187E-12i
0                         0                        0.3                      -2.07587353469759E-10-5.277862153393901E-11i
0                         0                        -0.3                     2.1897558293147038E-10+6.353510530549847E-11i
0.3                       0.3                      0                        6.468899587445838E-12+6.7466008492594294E-12i
0.3                       0.15                     0.15                     -9.130129666282458E-11-1.922833224722637E-11i
0.3                       0.15                     -0.15                    1.038129602816982E-10+3.196389505760567E-11i
0.15                      0.3                      0.15                     -9.129528164107912E-11-1.92112819881247E-11i
0.15                      0.3                      -0.15                    1.0381857277755255E-10+3.198184503809494E-11i
0.45                      0.15                     0                        6.5597090161252175E-12+6.909995513712953E-12i
0.15                      0.45                     0                        6.578741503438315E-12+6.947514284028164E-12i
0.15                      0.15                     0.3                      -2.0211036110743914E-10-5.04388573890673E-11i
