% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 7 2022, 18:50
% Dimension:          3
% Nodes:              891
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0                         0                        0                        -4.17622298546726E-12+7.800767880280045E-12i
0.15                      0.15                     0                        -4.7248918610601156E-12+7.880111439562982E-12i
-0.15                     0.15                     0                        -4.017535069610008E-12+7.1973201974470355E-12i
0.15                      -0.15                    0                        -4.834887718760628E-12+7.967665479035011E-12i
-0.15                     -0.15                    0                        -5.057910341817304E-12+8.308452467532405E-12i
0.15                      0                        0.15                     -2.5878725848835755E-11-1.9393743934716952E-10i
-0.15                     0                        0.15                     -2.548992726681014E-11-1.9404802506815555E-10i
0.15                      0                        -0.15                    1.7553598226526654E-11+2.0953368762238353E-10i
-0.15                     0                        -0.15                    1.7967588328918755E-11+2.0946162966009798E-10i
0                         0.15                     0.15                     -2.5729474439821827E-11-1.9375302868715687E-10i
0                         -0.15                    0.15                     -2.5730495413850887E-11-1.941499441182302E-10i
0                         0.15                     -0.15                    1.7681798926279394E-11+2.097122783081901E-10i
0                         -0.15                    -0.15                    1.7796540919515756E-11+2.09167314341656E-10i
0.3                       0                        0                        -5.337955022412231E-12+7.709836650665736E-12i
-0.3                      0                        0                        -4.799340290098021E-12+7.528517169942981E-12i
0                         0.3                      0                        -4.187797361844996E-12+6.595424517711708E-12i
0                         -0.3                     0                        -5.835036072945702E-12+8.482695631497443E-12i
0                         0                        0.3                      -3.5781278994693494E-11-4.1042885736114117E-10i
0                         0                        -0.3                     3.098728368154563E-11+4.26900920023249E-10i
0.3                       0.3                      0                        -5.352389177974065E-12+7.147371594872941E-12i
0.3                       0.15                     0.15                     -3.2224956646887225E-11-1.841708256079481E-10i
0.3                       0.15                     -0.15                    2.2634991444575987E-11+1.9936665185737903E-10i
0.15                      0.3                      0.15                     -3.220530875072002E-11-1.8380679486097555E-10i
0.15                      0.3                      -0.15                    2.3319790134203545E-11+1.986834462312324E-10i
0.45                      0.15                     0                        -6.119405787600266E-12+6.719670847803916E-12i
0.15                      0.45                     0                        -5.829239388340951E-12+7.448140644990777E-12i
0.15                      0.15                     0.3                      -4.311425456845801E-11-4.003366271377366E-10i
0.15                      0.15                     -0.3                     3.671266525757695E-11+4.1695143578585847E-10i
-0.3                      0.3                      0                        -5.127278794668436E-12+6.960131182894107E-12i
