% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 7 2022, 18:58
% Dimension:          3
% Nodes:              891
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0                         0                        0                        4.1403253907982637E-13-1.5852144439994928E-13i
0.15                      0.15                     0                        3.5990833596413934E-13-1.1203293209072706E-13i
-0.15                     0.15                     0                        5.209721484033754E-13-2.2463394766761955E-13i
0.15                      -0.15                    0                        3.560368820506815E-13-9.532457113282275E-14i
-0.15                     -0.15                    0                        2.74955270676256E-13-3.139343565125607E-14i
0.15                      0                        0.15                     2.763603717854636E-11-7.964820298872607E-11i
-0.15                     0                        0.15                     2.768014586572595E-11-7.965120516771846E-11i
0.15                      0                        -0.15                    -2.68057505376853E-11+7.92728711586871E-11i
-0.15                     0                        -0.15                    -2.6766053310573037E-11+7.927100296570225E-11i
0                         0.15                     0.15                     2.759942245332682E-11-7.959800893433562E-11i
0                         -0.15                    0.15                     2.7694462363123708E-11-7.968679311092567E-11i
0                         0.15                     -0.15                    -2.6835552559483536E-11+7.932053350574873E-11i
0                         -0.15                    -0.15                    -2.6726940302977177E-11+7.920488798440794E-11i
0.3                       0                        0                        3.6241891955845926E-13-1.2070112267539895E-13i
-0.3                      0                        0                        4.1423246610765025E-13-1.2936045198337718E-13i
0                         0.3                      0                        6.020634727141954E-13-3.0398532715539673E-13i
0                         -0.3                     0                        2.040961622222518E-13+3.1381570015002414E-14i
0                         0                        0.3                      5.8170568272445366E-11-1.6197183253353357E-10i
0                         0                        -0.3                     -5.729220314759277E-11+1.6154582543594754E-10i
0.3                       0.3                      0                        4.5430821478861174E-13-1.471681097602225E-13i
0.3                       0.15                     0.15                     2.555547989143063E-11-7.769917060562429E-11i
0.3                       0.15                     -0.15                    -2.471893747014986E-11+7.74003707772148E-11i
0.15                      0.3                      0.15                     2.548003608159292E-11-7.761829571869965E-11i
0.15                      0.3                      -0.15                    -2.4571738697600734E-11+7.729722599970922E-11i
0.45                      0.15                     0                        4.715975576872458E-13-2.1161414372431935E-13i
0.15                      0.45                     0                        3.42964022666857E-13-2.7473424459391467E-14i
0.15                      0.15                     0.3                      5.592946715777489E-11-1.6005658737629843E-10i
0.15                      0.15                     -0.3                     -5.5180266597202006E-11+1.5971242757195672E-10i
-0.3                      0.3                      0                        4.828434105949188E-13-1.8267116681904994E-13i
-0.3                      0.15                     0.15                     2.5619064058540193E-11-7.778226139925429E-11i
-0.3                      0.15                     -0.15                    -2.477634666102277E-11+7.747797796122305E-11i
-0.15                     0.3                      0.15                     2.5530044454561613E-11-7.762121289849768E-11i
-0.15                     0.3                      -0.15                    -2.4610895912672113E-11+7.730999306525653E-11i
-0.45                     0.15                     0                        4.4458841994563497E-13-1.6029171397657222E-13i
-0.15                     0.45                     0                        4.400749940173511E-13-1.3484289073748183E-13i
-0.15                     0.15                     0.3                      5.605367918926916E-11-1.6013549980538233E-10i
-0.15                     0.15                     -0.3                     -5.5252586044011356E-11+1.5984277890116388E-10i
0.3                       -0.3                     0                        5.634584482100777E-13-3.370332718423217E-13i
0.3                       -0.15                    0.15                     2.5756584327540293E-11-7.7953986313409E-11i
0.3                       -0.15                    -0.15                    -2.4851372016060358E-11+7.754850277264436E-11i
0.15                      -0.3                     0.15                     2.5664829621604036E-11-7.787794615072617E-11i
0.15                      -0.3                     -0.15                    -2.473489219339678E-11+7.7427376518914E-11i
0.45                      -0.15                    0                        3.8390695127915644E-13-1.8885949782082557E-13i
0.15                      -0.45                    0                        4.768233210013232E-13-2.671720192356557E-13i
0.15                      -0.15                    0.3                      5.578346025640791E-11-1.5997984494376902E-10i
0.15                      -0.15                    -0.3                     -5.5114538308724174E-11+1.597257217848406E-10i
-0.3                      -0.3                     0                        2.937929397073688E-13+2.19526752071367E-14i
-0.3                      -0.15                    0.15                     2.5622559694492462E-11-7.780630465385638E-11i
-0.3                      -0.15                    -0.15                    -2.4725126365199968E-11+7.740828669793568E-11i
-0.15                     -0.3                     0.15                     2.566090683754025E-11-7.782539029927859E-11i
-0.15                     -0.3                     -0.15                    -2.4724072095708068E-11+7.732887864941392E-11i
-0.45                     -0.15                    0                        4.458137503740046E-13-1.4404718341108585E-13i
-0.15                     -0.45                    0                        2.9350020323653623E-13+3.0474995911268476E-15i
-0.15                     -0.15                    0.3                      5.602554477144928E-11-1.601387203496868E-10i
-0.15                     -0.15                    -0.3                     -5.529973661695755E-11+1.5983347236901131E-10i
0.3                       0                        0.3                      5.3950580684654734E-11-1.5842737906275549E-10i
0.45                      0                        0.15                     2.3734803188350843E-11-7.623880389309977E-11i
0.15                      0                        0.45                     9.077449336118109E-11-2.461144255710376E-10i
-0.3                      0                        0.3                      5.4125689376367545E-11-1.585790123986842E-10i
-0.45                     0                        0.15                     2.3820070642723598E-11-7.627762196372582E-11i
-0.15                     0                        0.45                     9.081431847094066E-11-2.4613930423491573E-10i
0.3                       0                        -0.3                     -5.3266122666017186E-11+1.582054821635148E-10i
0.45                      0                        -0.15                    -2.289585484748768E-11+7.588753234105669E-11i
0.15                      0                        -0.45                    -8.988034219617883E-11+2.4556291612341553E-10i
-0.3                      0                        -0.3                     -5.317114624953747E-11+1.5809551386910873E-10i
-0.45                     0                        -0.15                    -2.3032929074196813E-11+7.603671049087893E-11i
