% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 7 2022, 18:54
% Dimension:          3
% Nodes:              891
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0                         0                        0                        4.4691353034228235E-13-3.2389728031165206E-14i
0.15                      0.15                     0                        3.8155070180784213E-13+1.1301562605343405E-14i
-0.15                     0.15                     0                        5.700372639214419E-13-9.512468242250245E-14i
0.15                      -0.15                    0                        3.745596267285454E-13+3.273704647361667E-14i
-0.15                     -0.15                    0                        2.7895315815150965E-13+9.744180872262427E-14i
0.15                      0                        0.15                     3.254173759850525E-11-8.718809031589257E-11i
-0.15                     0                        0.15                     3.2591356097891773E-11-8.71827841390738E-11i
0.15                      0                        -0.15                    -3.163913958668891E-11+8.705361187219579E-11i
-0.15                     0                        -0.15                    -3.15949140257844E-11+8.705982264571506E-11i
0                         0.15                     0.15                     3.249787489729301E-11-8.713388951084738E-11i
0                         -0.15                    0.15                     3.260897770806611E-11-8.722310316833876E-11i
0                         0.15                     -0.15                    -3.167517540457043E-11+8.710561145880386E-11i
0                         -0.15                    -0.15                    -3.1546861388173E-11+8.698736011604346E-11i
0.3                       0                        0                        3.8195394431926895E-13-6.174192989296315E-17i
-0.3                      0                        0                        4.407016358793394E-13+1.800339809841322E-15i
0                         0.3                      0                        6.652057221455894E-13-1.7976066243070263E-13i
0                         -0.3                     0                        1.9195757238403479E-13+1.5993169046077332E-13i
0                         0                        0.3                      6.856111511387785E-11-1.7718472612005E-10i
0                         0                        -0.3                     -6.758417399860217E-11+1.7700954531640497E-10i
0.3                       0.3                      0                        4.842377819234196E-13-2.0563925729466984E-14i
0.3                       0.15                     0.15                     3.006595905730169E-11-8.520171655483386E-11i
0.3                       0.15                     -0.15                    -2.916935981541212E-11+8.515078911932607E-11i
0.15                      0.3                      0.15                     2.9976065269431265E-11-8.51170715141904E-11i
0.15                      0.3                      -0.15                    -2.8995714550852106E-11+8.5051529652517E-11i
0.45                      0.15                     0                        5.052027143980777E-13-9.639280487086774E-14i
0.15                      0.45                     0                        3.4964158125100653E-13+1.0303115771766062E-13i
0.15                      0.15                     0.3                      6.590940701303205E-11-1.7526359455596786E-10i
0.15                      0.15                     -0.3                     -6.508660506733017E-11+1.751583335492362E-10i
-0.3                      0.3                      0                        5.18172620170992E-13-5.436851287306089E-14i
-0.3                      0.15                     0.15                     3.014255538394448E-11-8.528728261766873E-11i
-0.3                      0.15                     -0.15                    -2.9239548579108176E-11+8.523836121367251E-11i
-0.15                     0.3                      0.15                     3.0032200338910536E-11-8.511048122585125E-11i
