% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 11 2022, 16:36
% Dimension:          3
% Nodes:              891
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0.6                       0                        0                        1.4271470046196837E-11+1.4130844832380325E-12i
-0.6                      0                        0                        1.209754444326192E-11+1.5398722494825875E-12i
0                         0.6                      0                        1.2023347091168287E-11-1.3390360644319608E-13i
0                         -0.6                     0                        1.354053204057044E-11+2.117557341602577E-12i
0                         0                        0.6                      -1.0537327195648436E-10-2.2031872716332736E-12i
0                         0                        -0.6                     1.2756831270146212E-10+7.731276666566121E-12i
0.45                      0.45                     0                        1.2976290105111812E-11+3.6959194435712276E-13i
0.45                      0.3                      0.15                     -9.262769500166683E-12-5.417756364622779E-13i
0.45                      0.3                      -0.15                    3.5665534202198315E-11+1.9584726732375485E-12i
0.3                       0.45                     0.15                     -9.73939444873995E-12-1.187154524213531E-12i
0.3                       0.45                     -0.15                    3.501042515473001E-11+1.5537926002480896E-12i
0.6                       0.3                      0                        1.356396509170744E-11+8.814009229854436E-13i
0.3                       0.6                      0                        1.274552088537308E-11-4.7206745416844844E-14i
0.3                       0.3                      0.3                      -3.5286146403310035E-11-2.2255299246225836E-12i
0.3                       0.3                      -0.3                     6.049257942367727E-11+3.3215588519941236E-12i
0.45                      0.15                     0.3                      -3.45192030508969E-11-1.2676115345330235E-12i
0.6                       0.15                     0.15                     -8.440983643169275E-12+1.056950541772983E-13i
0.3                       0.15                     0.45                     -6.5629846144378E-11-2.657126128511211E-12i
0.45                      0.15                     -0.3                     6.143412177048777E-11+3.634080258170684E-12i
0.6                       0.15                     -0.15                    3.638893501195429E-11+2.3105631552005964E-12i
0.3                       0.15                     -0.45                    9.10231273104607E-11+5.431131098779511E-12i
0.15                      0.45                     0.3                      -3.559103943271277E-11-3.0025150079104824E-12i
0.15                      0.6                      0.15                     -1.0072219294981648E-11-1.583020325489025E-12i
0.15                      0.3                      0.45                     -6.584009547227841E-11-3.9120771812938634E-12i
0.15                      0.45                     -0.3                     6.017115041499259E-11+2.978374500335228E-12i
0.15                      0.6                      -0.15                    3.494696018562206E-11+1.2227690349371948E-12i
0.15                      0.3                      -0.45                    8.997686308028161E-11+5.091009392665102E-12i
0.75                      0.15                     0                        1.4218539091964206E-11+1.3215381843426514E-12i
0.15                      0.75                     0                        1.2878177755024263E-11-2.888451130052875E-13i
0.15                      0.15                     0.6                      -1.0341518586118445E-10-3.768881020371526E-12i
0.15                      0.15                     -0.6                     1.2679313965164272E-10+7.654068214624363E-12i
-0.45                     0.45                     0                        1.1530129466901357E-11+4.633363949874543E-13i
-0.45                     0.3                      0.15                     -1.0828283134530977E-11-3.2068773671489945E-13i
-0.45                     0.3                      -0.15                    3.292235776637626E-11+2.0334832591991065E-12i
-0.3                      0.45                     0.15                     -1.060098412250215E-11-9.761549170638766E-13i
-0.3                      0.45                     -0.15                    3.3481386923773416E-11+1.602823382366318E-12i
-0.6                      0.3                      0                        1.1868426160020036E-11+9.207526696550951E-13i
-0.3                      0.6                      0                        1.1882186544819268E-11+1.2540300087296164E-14i
-0.3                      0.3                      0.3                      -3.6142642029462956E-11-1.7928552491016788E-12i
-0.3                      0.3                      -0.3                     5.78044474674485E-11+3.4568387454340003E-12i
-0.45                     0.15                     0.3                      -3.613768187967321E-11-8.50081279184915E-13i
-0.6                      0.15                     0.15                     -1.024026049087747E-11+2.3488089968596623E-13i
-0.3                      0.15                     0.45                     -6.615869218121788E-11-2.0424648316406655E-12i
-0.45                     0.15                     -0.3                     5.660473049083011E-11+3.822229319043501E-12i
-0.6                      0.15                     -0.15                    3.298714446917911E-11+2.3370577674197177E-12i
-0.3                      0.15                     -0.45                    8.716779625812683E-11+5.797692252309758E-12i
-0.15                     0.45                     0.3                      -3.591678570709686E-11-2.712674084836604E-12i
-0.15                     0.6                      0.15                     -1.0284402041303314E-11-1.4683353020712955E-12i
-0.15                     0.3                      0.45                     -6.595805442397754E-11-3.3747307647299555E-12i
-0.15                     0.45                     -0.3                     5.912769774441844E-11+3.003474792085354E-12i
-0.15                     0.6                      -0.15                    3.416064775511077E-11+1.2013762888592724E-12i
-0.15                     0.3                      -0.45                    8.900380727698526E-11+5.2812917836664264E-12i
-0.75                     0.15                     0                        1.2797883872298825E-11+1.1627424393343168E-12i
-0.15                     0.75                     0                        1.2339058140675856E-11-2.910414552719386E-13i
-0.15                     0.15                     0.6                      -1.0286699429489683E-10-3.215861158277652E-12i
-0.15                     0.15                     -0.6                     1.2490553492227397E-10+7.931430041206843E-12i
0.45                      -0.45                    0                        1.493792945196401E-11+1.7953088518337937E-12i
0.45                      -0.3                     0.15                     -7.52373305492257E-12+8.524198959637058E-13i
0.45                      -0.3                     -0.15                    3.686966648883071E-11+2.664363742716141E-12i
0.3                       -0.45                    0.15                     -7.699467409942547E-12+1.16382638524176E-12i
0.3                       -0.45                    -0.15                    3.684737946381003E-11+2.8093469373140057E-12i
0.6                       -0.3                     0                        1.5006826045180177E-11+1.5747197095733169E-12i
0.3                       -0.6                     0                        1.4945091801738E-11+1.991643199461357E-12i
0.3                       -0.3                     0.3                      -3.337628704947936E-11+2.7439184612927614E-13i
0.3                       -0.3                     -0.3                     6.214858576211668E-11+3.9169998835071514E-12i
0.45                      -0.15                    0.3                      -3.3110561054480387E-11-2.3551728210217615E-13i
0.6                       -0.15                    0.15                     -7.37535643779968E-12+6.452480090683965E-13i
0.3                       -0.15                    0.45                     -6.481581091914783E-11-9.22255828722071E-13i
0.45                      -0.15                    -0.3                     6.221714485234616E-11+3.839646986567447E-12i
0.6                       -0.15                    -0.15                    3.694278602646347E-11+2.3152888724446098E-12i
0.3                       -0.15                    -0.45                    9.161354812058312E-11+5.480218741973629E-12i
0.15                      -0.45                    0.3                      -3.4547181187968665E-11+6.288228670468602E-13i
0.15                      -0.6                     0.15                     -8.181949168964237E-12+1.3687633714078263E-12i
0.15                      -0.3                     0.45                     -6.538061616493007E-11-1.893232651411053E-13i
0.15                      -0.45                    -0.3                     6.165445085484843E-11+3.938020544518888E-12i
0.15                      -0.6                     -0.15                    3.650960297880919E-11+2.880570258658655E-12i
