% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 10 2022, 17:10
% Dimension:          3
% Nodes:              1061
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0                         0                        0                        -1.0123245968451405E-12-6.005443718342511E-14i
0.1875                    0.1875                   0                        -1.0225405822683372E-12-6.11691677785261E-14i
-0.1875                   0.1875                   0                        -1.0826659162518703E-12-6.593013088705512E-14i
0.1875                    -0.1875                  0                        -1.0255888603587408E-12-6.119072902716953E-14i
-0.1875                   -0.1875                  0                        -1.0526309644062687E-12-6.342570605873335E-14i
0.1875                    0                        0.1875                   -5.060514946300815E-11-2.893336079053812E-12i
-0.1875                   0                        0.1875                   -5.064122043928114E-11-2.896220352354318E-12i
0.1875                    0                        -0.1875                  4.8650867040116855E-11+2.7789092759486177E-12i
-0.1875                   0                        -0.1875                  4.862905920582501E-11+2.776892105146053E-12i
0                         0.1875                   0.1875                   -5.067548471538383E-11-2.898537256180838E-12i
0                         -0.1875                  0.1875                   -5.0647277421815563E-11-2.8962827479842164E-12i
0                         0.1875                   -0.1875                  4.866275714015874E-11+2.77931663261139E-12i
0                         -0.1875                  -0.1875                  4.864741488888E-11+2.7786141122274965E-12i
0.375                     0                        0                        -1.0280275503212516E-12-6.16714825122084E-14i
-0.375                    0                        0                        -1.0591078774301483E-12-6.458027504004015E-14i
0                         0.375                    0                        -1.0373004642772338E-12-6.299732628684282E-14i
0                         -0.375                   0                        -1.0289923956951423E-12-6.200853175209877E-14i
0                         0                        0.375                    -1.0184055138983649E-10-5.839568166397636E-12i
0                         0                        -0.375                   9.984038191151776E-11+5.725401444370819E-12i
0.375                     0.375                    0                        -1.0815180363170244E-12-6.599963369583396E-14i
0.375                     0.1875                   0.1875                   -4.9860083834139385E-11-2.8415654524822912E-12i
0.375                     0.1875                   -0.1875                  4.7838605970774083E-11+2.720866281073256E-12i
0.1875                    0.375                    0.1875                   -4.983782684761818E-11-2.840460077322707E-12i
0.1875                    0.375                    -0.1875                  4.779283382035884E-11+2.7173927112973985E-12i
0.5625                    0.1875                   0                        -1.0197156302809954E-12-6.231984662461337E-14i
0.1875                    0.5625                   0                        -1.0461940408476887E-12-6.484772260370185E-14i
0.1875                    0.1875                   0.375                    -1.0075209736081019E-10-5.763855532556528E-12i
0.1875                    0.1875                   -0.375                   9.87612711415428E-11+5.649383168409E-12i
-0.375                    0.375                    0                        -1.050751239022008E-12-6.568575836601928E-14i
-0.375                    0.1875                   0.1875                   -4.989380360403295E-11-2.845065274088909E-12i
-0.375                    0.1875                   -0.1875                  4.781273622254892E-11+2.7177997151622604E-12i
-0.1875                   0.375                    0.1875                   -4.992067647938165E-11-2.846810429786974E-12i
-0.1875                   0.375                    -0.1875                  4.781174226523499E-11+2.7178362451349695E-12i
-0.5625                   0.1875                   0                        -1.1061993701971316E-12-6.967069538255165E-14i
-0.1875                   0.5625                   0                        -1.0597230942757212E-12-6.682724005824456E-14i
-0.1875                   0.1875                   0.375                    -1.0081761512273444E-10-5.769072218433128E-12i
-0.1875                   0.1875                   -0.375                   9.870069321705914E-11+5.644285424488309E-12i
0.375                     -0.375                   0                        -9.963793492137443E-13-6.002578797328637E-14i
0.375                     -0.1875                  0.1875                   -4.984245453207514E-11-2.8400811730027413E-12i
0.375                     -0.1875                  -0.1875                  4.7836794369264926E-11+2.7208602581556974E-12i
