% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 7 2022, 19:01
% Dimension:          3
% Nodes:              891
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0.6                       0                        0                        -5.267724619291981E-13+1.3163516404821148E-12i
-0.6                      0                        0                        3.46603463366715E-13+1.3934739906696353E-12i
0                         0.6                      0                        9.10811866300723E-14+1.5058692109506554E-12i
0                         -0.6                     0                        -6.906304196032533E-14+1.1571362338908695E-12i
0                         0                        0.6                      -2.739921660205709E-10-8.533810903625871E-10i
0                         0                        -0.6                     2.765170541741537E-10+8.556628133610896E-10i
0.45                      0.45                     0                        -6.047842576384521E-13+3.7671150494998083E-13i
0.45                      0.3                      0.15                     -7.700978727084224E-11-1.961018758242444E-10i
0.45                      0.3                      -0.15                    7.597794111860952E-11+1.983678913759182E-10i
0.3                       0.45                     0.15                     -7.683549122479268E-11-1.9570126334223137E-10i
0.3                       0.45                     -0.15                    7.616361748901395E-11+1.9813095434473097E-10i
0.6                       0.3                      0                        -6.598773639316181E-13+1.2702814267741644E-12i
0.3                       0.6                      0                        -5.518401538890352E-13+8.973995485010949E-13i
0.3                       0.3                      0.3                      -1.4941612861431706E-10-3.9885494484895855E-10i
0.3                       0.3                      -0.3                     1.4916746088258232E-10+4.008964056992904E-10i
0.45                      0.15                     0.3                      -1.5061977230074477E-10-3.917432325279355E-10i
0.6                       0.15                     0.15                     -7.793839611070988E-11-1.8767213722152026E-10i
0.3                       0.15                     0.45                     -2.1852029900280407E-10-6.088467778794326E-10i
0.45                      0.15                     -0.3                     1.4998434635358778E-10+3.9371115251676596E-10i
0.6                       0.15                     -0.15                    7.663413396156899E-11+1.8842479594869038E-10i
0.3                       0.15                     -0.45                    2.188658414185978E-10+6.097495481954578E-10i
0.15                      0.45                     0.3                      -1.5030229881082788E-10-3.914043879271138E-10i
0.15                      0.6                      0.15                     -7.740005748904041E-11-1.8742186514382052E-10i
0.15                      0.3                      0.45                     -2.18117566082377E-10-6.096204293713151E-10i
0.15                      0.45                     -0.3                     1.5036864927171527E-10+3.9361616100182464E-10i
0.15                      0.6                      -0.15                    7.712999060543565E-11+1.8964757119922028E-10i
0.15                      0.3                      -0.45                    2.1908543200656517E-10+6.107962252526415E-10i
0.75                      0.15                     0                        -6.578807204740013E-13+1.1242141604377379E-12i
0.15                      0.75                     0                        -3.723819607103406E-13+7.767747215110827E-13i
0.15                      0.15                     0.6                      -2.792468039616785E-10-8.427862185628991E-10i
0.15                      0.15                     -0.6                     2.810415820409694E-10+8.445906421412313E-10i
-0.45                     0.45                     0                        7.363125833613664E-13+2.1051153636219796E-12i
-0.45                     0.3                      0.15                     -7.604140105203035E-11-1.9507441962443924E-10i
-0.45                     0.3                      -0.15                    7.747748597753632E-11+1.9894134652681063E-10i
-0.3                      0.45                     0.15                     -7.603977468783148E-11-1.947791498475697E-10i
-0.3                      0.45                     -0.15                    7.744624394032922E-11+1.9890791768668419E-10i
-0.6                      0.3                      0                        6.305126791947636E-13+2.9803248408467787E-12i
-0.3                      0.6                      0                        5.351887341956517E-13+1.2142446731814597E-12i
-0.3                      0.3                      0.3                      -1.4895868482971978E-10-3.9765893781127724E-10i
-0.3                      0.3                      -0.3                     1.505487997048062E-10+4.0159365997173004E-10i
-0.45                     0.15                     0.3                      -1.499980276342494E-10-3.902834438769189E-10i
-0.6                      0.15                     0.15                     -7.699473176395643E-11-1.8578370459045964E-10i
-0.3                      0.15                     0.45                     -2.178677275373173E-10-6.079743163816158E-10i
-0.45                     0.15                     -0.3                     1.5150162825293157E-10+3.941517229528071E-10i
-0.6                      0.15                     -0.15                    7.810288577333376E-11+1.9018710584239765E-10i
-0.3                      0.15                     -0.45                    2.200258208555948E-10+6.113988233266664E-10i
-0.15                     0.45                     0.3                      -1.498928880652581E-10-3.904685660569365E-10i
-0.15                     0.6                      0.15                     -7.691203207063331E-11-1.861796814829504E-10i
-0.15                     0.3                      0.45                     -2.1780881555105145E-10-6.088949644792329E-10i
-0.15                     0.45                     -0.3                     1.5110465348742025E-10+3.946652546606866E-10i
-0.15                     0.6                      -0.15                    7.783450661600041E-11+1.895073612876428E-10i
-0.15                     0.3                      -0.45                    2.1954229160378434E-10+6.117715628659163E-10i
-0.75                     0.15                     0                        4.942582522800262E-13+2.4000985491362375E-12i
-0.15                     0.75                     0                        3.153614788641149E-13+2.860097751951404E-12i
-0.15                     0.15                     0.6                      -2.787767854321028E-10-8.430484160224869E-10i
-0.15                     0.15                     -0.6                     2.8136289574137967E-10+8.452007935884861E-10i
0.45                      -0.45                    0                        -7.63232239519293E-13+1.2740371376556798E-12i
0.45                      -0.3                     0.15                     -7.728587915792451E-11-1.9709870690221596E-10i
0.45                      -0.3                     -0.15                    7.617968600108136E-11+1.9747233077030665E-10i
0.3                       -0.45                    0.15                     -7.720214762717122E-11-1.9647954733365282E-10i
0.3                       -0.45                    -0.15                    7.636241732035317E-11+1.9706264705579093E-10i
0.6                       -0.3                     0                        -8.260935661117731E-13-1.5254914731641173E-14i
0.3                       -0.6                     0                        -5.273533885221881E-13-3.151686108847192E-13i
0.3                       -0.3                     0.3                      -1.4999823358246234E-10-3.989437932692727E-10i
0.3                       -0.3                     -0.3                     1.4937734980241433E-10+3.9991771845502176E-10i
0.45                      -0.15                    0.3                      -1.509582103333209E-10-3.9141369111132397E-10i
0.6                       -0.15                    0.15                     -7.807984023749914E-11-1.8767533816013036E-10i
0.3                       -0.15                    0.45                     -2.1871644228021094E-10-6.092548643009228E-10i
0.45                      -0.15                    -0.3                     1.502354943202252E-10+3.920594231912707E-10i
0.6                       -0.15                    -0.15                    7.680290240723326E-11+1.8852274065893245E-10i
0.3                       -0.15                    -0.45                    2.1884317188460077E-10+6.097704437624463E-10i
0.15                      -0.45                    0.3                      -1.508879380639869E-10-3.9174678611580194E-10i
0.15                      -0.6                     0.15                     -7.779812680381705E-11-1.8760547697031412E-10i
0.15                      -0.3                     0.45                     -2.1862840703465325E-10-6.083372954917638E-10i
0.15                      -0.45                    -0.3                     1.5060087145716462E-10+3.922009436642578E-10i
0.15                      -0.6                     -0.15                    7.720758748573606E-11+1.8882195639666106E-10i
0.15                      -0.3                     -0.45                    2.1888579215618197E-10+6.111007020100031E-10i
0.75                      -0.15                    0                        -8.659612512835488E-13+3.210688529857982E-13i
