% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 10 2022, 17:14
% Dimension:          3
% Nodes:              1061
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0                         0                        0                        -3.051177963498589E-12-1.3941282138328568E-12i
0.1875                    0.1875                   0                        -3.1073926407729377E-12-1.4355042485179043E-12i
-0.1875                   0.1875                   0                        -3.295480619575148E-12-1.5009101958029938E-12i
0.1875                    -0.1875                  0                        -3.104033487006826E-12-1.4275441261581112E-12i
-0.1875                   -0.1875                  0                        -3.1937116282273682E-12-1.4608329401050632E-12i
0.1875                    0                        0.1875                   -1.0919565205956847E-10-2.191004335533714E-11i
-0.1875                   0                        0.1875                   -1.0931084774686838E-10-2.195168710846377E-11i
0.1875                    0                        -0.1875                  1.0332645060958565E-10+1.9218286076748514E-11i
-0.1875                   0                        -0.1875                  1.0324491904576829E-10+1.9185744973726185E-11i
0                         0.1875                   0.1875                   -1.0939831425776545E-10-2.1974478707789834E-11i
0                         -0.1875                  0.1875                   -1.0930835489689639E-10-2.194181255226488E-11i
0                         0.1875                   -0.1875                  1.0333653639793884E-10+1.921061571515265E-11i
0                         -0.1875                  -0.1875                  1.0331660072570284E-10+1.921716364656602E-11i
0.375                     0                        0                        -3.1350758662873874E-12-1.4593820683056131E-12i
-0.375                    0                        0                        -3.254365356665777E-12-1.5094247614557792E-12i
0                         0.375                    0                        -3.1948494302180204E-12-1.4938000435024959E-12i
0                         -0.375                   0                        -3.1491883362600854E-12-1.4674317711731094E-12i
0                         0                        0.375                    -2.19610931894369E-10-4.3540983237223216E-11i
0                         0                        -0.375                   2.138548881233936E-10+4.1077986162327574E-11i
0.375                     0.375                    0                        -3.3222974784703485E-12-1.5522639511764606E-12i
0.375                     0.1875                   0.1875                   -1.0723739556795048E-10-2.1394689556525173E-11i
0.375                     0.1875                   -0.1875                  1.0107441340125274E-10+1.8518790650717136E-11i
0.1875                    0.375                    0.1875                   -1.0720029007768069E-10-2.1394882056033516E-11i
0.1875                    0.375                    -0.1875                  1.0093778733001344E-10+1.8472784186245062E-11i
0.5625                    0.1875                   0                        -3.196141391187474E-12-1.545080454010289E-12i
0.1875                    0.5625                   0                        -3.300432009964832E-12-1.5907813963611087E-12i
0.1875                    0.1875                   0.375                    -2.1673090604758695E-10-4.275527724907488E-11i
0.1875                    0.1875                   -0.375                   2.1092562953694844E-10+4.0208166605268123E-11i
-0.375                    0.375                    0                        -3.3287695535634035E-12-1.5929809414054673E-12i
-0.375                    0.1875                   0.1875                   -1.0738497950999135E-10-2.1463586540273235E-11i
-0.375                    0.1875                   -0.1875                  1.0094589095295981E-10+1.8458090346421123E-11i
-0.1875                   0.375                    0.1875                   -1.0745015118167598E-10-2.1478707649576573E-11i
-0.1875                   0.375                    -0.1875                  1.0094693287383357E-10+1.845879560770001E-11i
