% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 7 2022, 19:09
% Dimension:          3
% Nodes:              891
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0                         0                        0                        1.681393505219701E-13-1.9966943649473178E-13i
0.15                      0.15                     0                        1.7766837093426033E-13-2.1075643765970742E-13i
-0.15                     0.15                     0                        2.3690834443182205E-13-2.439201252006097E-13i
0.15                      -0.15                    0                        1.8598615151972637E-13-2.1895191589090806E-13i
-0.15                     -0.15                    0                        1.8631527253917338E-13-2.0493507028992062E-13i
0.15                      0                        0.15                     2.151515068397564E-11-7.970154000403261E-11i
-0.15                     0                        0.15                     2.1617947271263138E-11-7.980248270377471E-11i
0.15                      0                        -0.15                    -2.1238359264178933E-11+7.934797187657741E-11i
-0.15                     0                        -0.15                    -2.1266471833166666E-11+7.939178586267957E-11i
0                         0.15                     0.15                     2.1587780914403536E-11-7.976001453692932E-11i
0                         -0.15                    0.15                     2.1573466885067594E-11-7.976169794822068E-11i
0                         0.15                     -0.15                    -2.1269803590516204E-11+7.938712360182545E-11i
0                         -0.15                    -0.15                    -2.1296978382500904E-11+7.940910092225139E-11i
0.3                       0                        0                        1.9786556568393128E-13-2.36045361669243E-13i
-0.3                      0                        0                        2.064915602608921E-13-2.164837895588312E-13i
0                         0.3                      0                        1.6095638779190387E-13-1.7297779735389262E-13i
0                         -0.3                     0                        2.278393626718076E-13-2.5300761315757283E-13i
0                         0                        0.3                      4.3815618684968007E-11-1.6014957404148896E-10i
0                         0                        -0.3                     -4.345767325502005E-11+1.5969206060376664E-10i
0.3                       0.3                      0                        1.7562685359015766E-13-1.9961927541217535E-13i
0.3                       0.15                     0.15                     2.1037234149366752E-11-7.924609469533945E-11i
0.3                       0.15                     -0.15                    -2.071551218077752E-11+7.884400564579373E-11i
0.15                      0.3                      0.15                     2.1084736325530856E-11-7.929143596848315E-11i
0.15                      0.3                      -0.15                    -2.0680516229511663E-11+7.882087267419359E-11i
0.45                      0.15                     0                        1.6753347885813535E-13-2.0388530916731675E-13i
0.15                      0.45                     0                        1.5784439992442463E-13-1.6220966239352254E-13i
0.15                      0.15                     0.3                      4.328873913085825E-11-1.5964195143054572E-10i
0.15                      0.15                     -0.3                     -4.297372894531683E-11+1.5922323619804035E-10i
-0.3                      0.3                      0                        2.0795127234161197E-13-1.9416497429424338E-13i
-0.3                      0.15                     0.15                     2.110332292646365E-11-7.928668914557334E-11i
-0.3                      0.15                     -0.15                    -2.0719293430067905E-11+7.890800266697818E-11i
-0.15                     0.3                      0.15                     2.1058682202763146E-11-7.923579508906144E-11i
-0.15                     0.3                      -0.15                    -2.0683062657190202E-11+7.885433726061335E-11i
-0.45                     0.15                     0                        1.8407700665496453E-13-1.4627445279245884E-13i
-0.15                     0.45                     0                        2.106670384988576E-13-1.8721315936502403E-13i
-0.15                     0.15                     0.3                      4.3280116547952595E-11-1.596199758975045E-10i
-0.15                     0.15                     -0.3                     -4.286511213431057E-11+1.591321900445449E-10i
0.3                       -0.3                     0                        1.5723105376711615E-13-1.8527501546124252E-13i
0.3                       -0.15                    0.15                     2.104916789811143E-11-7.926612571825538E-11i
0.3                       -0.15                    -0.15                    -2.0723396760304737E-11+7.886234452826627E-11i
0.15                      -0.3                     0.15                     2.110307927815258E-11-7.933214371476001E-11i
0.15                      -0.3                     -0.15                    -2.0649492900269305E-11+7.878580785460181E-11i
0.45                      -0.15                    0                        1.6944642626931747E-13-2.0151161270906312E-13i
0.15                      -0.45                    0                        1.758721837935467E-13-1.9837908334471644E-13i
0.15                      -0.15                    0.3                      4.3191222424658994E-11-1.5956028239027034E-10i
0.15                      -0.15                    -0.3                     -4.298325793397434E-11+1.5923784576940582E-10i
-0.3                      -0.3                     0                        1.9839355868297391E-13-2.1095043832156874E-13i
-0.3                      -0.15                    0.15                     2.1071390290703843E-11-7.926523207657379E-11i
-0.3                      -0.15                    -0.15                    -2.0745460923755486E-11+7.891490180969123E-11i
-0.15                     -0.3                     0.15                     2.1034218136066224E-11-7.92418812844747E-11i
-0.15                     -0.3                     -0.15                    -2.071028986861804E-11+7.885556398819694E-11i
-0.45                     -0.15                    0                        1.34602311242827E-13-1.2583799188844664E-13i
-0.15                     -0.45                    0                        1.5960581110107832E-13-1.6436440822183403E-13i
-0.15                     -0.15                    0.3                      4.3246678850980125E-11-1.596024214245273E-10i
-0.15                     -0.15                    -0.3                     -4.291242771498884E-11+1.5918644090820268E-10i
0.3                       0                        0.3                      4.2537023151945676E-11-1.5885288518549942E-10i
0.45                      0                        0.15                     2.0228206176970697E-11-7.832724506689983E-11i
0.15                      0                        0.45                     6.679464028436988E-11-2.4126913100322614E-10i
-0.3                      0                        0.3                      4.2494596267050876E-11-1.5877727617024372E-10i
-0.45                     0                        0.15                     2.025204387146322E-11-7.832039472680628E-11i
-0.15                     0                        0.45                     6.678830352270718E-11-2.4126117574456994E-10i
