% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 7 2022, 19:05
% Dimension:          3
% Nodes:              891
% Expressions:        1
% Description:        Electric potential
% Length unit:        nm
% x                       y                        z                        V (V)
0                         0                        0                        2.0021769902243934E-13-1.5794815830033325E-13i
0.15                      0.15                     0                        2.1133855287879104E-13-1.6941990491510704E-13i
-0.15                     0.15                     0                        2.7909342169682884E-13-2.0000569080545107E-13i
0.15                      -0.15                    0                        2.2300413213573567E-13-1.7793710658681124E-13i
-0.15                     -0.15                    0                        2.2028249977178537E-13-1.6190667457826528E-13i
0.15                      0                        0.15                     2.5857391217453748E-11-8.831397725165501E-11i
-0.15                     0                        0.15                     2.597917930832661E-11-8.841887874494674E-11i
0.15                      0                        -0.15                    -2.5525189545082752E-11+8.804409691521867E-11i
-0.15                     0                        -0.15                    -2.5562122530809005E-11+8.809118074289645E-11i
0                         0.15                     0.15                     2.594248182374888E-11-8.837230489302451E-11i
0                         -0.15                    0.15                     2.5927501364911645E-11-8.837696191727975E-11i
0                         0.15                     -0.15                    -2.55655123430697E-11+8.8085412271242E-11i
0                         -0.15                    -0.15                    -2.559615727911064E-11+8.810714719165074E-11i
0.3                       0                        0                        2.369751765192002E-13-1.9618384523279766E-13i
-0.3                      0                        0                        2.4164321300492006E-13-1.7302814164935793E-13i
0                         0.3                      0                        1.8730687808839186E-13-1.2745768078626477E-13i
0                         -0.3                     0                        2.7201757948614953E-13-2.1251796597064712E-13i
0                         0                        0.3                      5.266538497053327E-11-1.774450323783831E-10i
0                         0                        -0.3                     -5.223036645294962E-11+1.7706482940504361E-10i
0.3                       0.3                      0                        2.0661314355127133E-13-1.566021237312269E-13i
0.3                       0.15                     0.15                     2.5280361588304006E-11-8.78479837335405E-11i
0.3                       0.15                     -0.15                    -2.4896572610424083E-11+8.752733189750042E-11i
0.15                      0.3                      0.15                     2.533619628047848E-11-8.789493252475412E-11i
0.15                      0.3                      -0.15                    -2.48567134355607E-11+8.750507244496527E-11i
0.45                      0.15                     0                        1.978548240948689E-13-1.6283663815145382E-13i
0.15                      0.45                     0                        1.817721744252361E-13-1.1535148971404287E-13i
0.15                      0.15                     0.3                      5.203018081020104E-11-1.7692437084399525E-10i
0.15                      0.15                     -0.3                     -5.164800235838352E-11+1.7658382225041486E-10i
-0.3                      0.3                      0                        2.388127049191685E-13-1.4607978672625937E-13i
-0.3                      0.15                     0.15                     2.5354604914034674E-11-8.788764151741247E-11i
-0.3                      0.15                     -0.15                    -2.4908885011143568E-11+8.760230994249146E-11i
-0.15                     0.3                      0.15                     2.5300540183144855E-11-8.783335797860581E-11i
-0.15                     0.3                      -0.15                    -2.486397604174724E-11+8.754435608379068E-11i
-0.45                     0.15                     0                        2.0824271414452137E-13-9.346287448186942E-14i
-0.15                     0.45                     0                        2.4134896464583433E-13-1.3698277803217884E-13i
-0.15                     0.15                     0.3                      5.2016892118432277E-11-1.7690070986689675E-10i
-0.15                     0.15                     -0.3                     -5.152035163566991E-11+1.764923666015254E-10i
0.3                       -0.3                     0                        1.8803651663966989E-13-1.426641035404579E-13i
0.3                       -0.15                    0.15                     2.5297073953226155E-11-8.78702682639721E-11i
0.3                       -0.15                    -0.15                    -2.4904810515109346E-11+8.754815976862632E-11i
